delta,Method,AvgPayoff,DecisionMargin,WorstCase_Q5
0,Type-1,0.737869228415559,0,0.737869228415559
0,IT2-midpoint,0.737869228415559,0,0.737869228415559
0,Proposed,0.737869228415559,0,0.737869228415559
0.05,Type-1,0.737869228415559,0,0.728746614978467
0.05,IT2-midpoint,0.737869228415559,0,0.728746614978467
0.05,Proposed,0.740939129039503,0.0191665931964135,0.731734836469466
0.1,Type-1,0.737869228415559,0,0.719624001541375
0.1,IT2-midpoint,0.737869228415559,0,0.719624001541375
0.1,Proposed,0.744014975076641,0.0380264333659841,0.725441859308588
0.2,Type-1,0.737869228415559,0,0.69312220088319
0.2,IT2-midpoint,0.737869228415559,0,0.69312220088319
0.2,Proposed,0.750140677181883,0.0747982539142546,0.703004180704882
