alpha,ExpectedPayoff,WorstCase_Q5,CE_gamma,DecisionMargin,SCShare,ConfigIndex,FOUScale_SC,ShockStrength
0,0.525630355376271,0.444243569313392,0.484936962344831,0.214024453457646,0.245344732630417,1,1.6,0.25
0.1,0.530336086333312,0.441300776429206,0.485818431381259,0.196050105949396,0.26846166728734,1,1.6,0.25
0.2,0.535027160461038,0.438096813214879,0.486561986837958,0.17729762633999,0.292427346592157,1,1.6,0.25
0.3,0.539671809237563,0.434657823000985,0.487164816119274,0.157752819178102,0.317082401291553,1,1.6,0.25
0.4,0.544235453337053,0.430932501225941,0.487583977281497,0.137412675360401,0.342241117206192,1,1.6,0.25
0.5,0.548703593595577,0.42688564679414,0.487794620194858,0.116293502063014,0.367789537077231,1,1.6,0.25
0.6,0.553041859311446,0.422648341784053,0.48784510054775,0.0944127784353493,0.393519329887184,1,1.6,0.25
0.7,0.55723630285517,0.41838384373994,0.487810073297555,0.0718032600775155,0.41930110062032,1,1.6,0.25
0.8,0.561276940044675,0.413958988393266,0.487617964218971,0.0485031619444359,0.445018713329909,1,1.6,0.25
0.9,0.565139702615179,0.409350316851519,0.487245009733349,0.0245530789200053,0.470485718128344,1,1.6,0.25
1,0.568820933808895,0.404642034482251,0.486731484145573,0,0.495606840025014,1,1.6,0.25
