Scenario,Rank,q_SC,q_SP,q_DC,q_DP,ExpectedPayoff,WorstCaseQ5,CE_gamma
concentrated,1,0.02,0.98,0,0,0.816707178049025,0.80730252184106,0.811534617134644
concentrated,2,0,1,0,0,0.815838918521055,0.807460061046595,0.811230546910102
concentrated,3,0.02,0.96,0.02,0,0.815264570665097,0.806125759894097,0.810238224741047
concentrated,4,0,0.98,0.02,0,0.81439444672534,0.806353287706073,0.809971809264743
concentrated,5,0.04,0.96,0,0,0.817562954250315,0.802411819227057,0.809229829987523
concentrated,6,0.02,0.94,0.04,0,0.813819560925106,0.804864002438013,0.808894003757205
concentrated,7,0,0.96,0.04,0,0.812947572573562,0.805230725712214,0.808703306799821
concentrated,8,0.02,0.96,0,0.02,0.813547302511308,0.804380689399041,0.808505665299562
concentrated,9,0,0.98,0,0.02,0.812672483086868,0.804636846299081,0.808252882853585
concentrated,10,0.04,0.94,0.02,0,0.816122211278174,0.800921285015273,0.807761701833578
dispersed,1,0.02,0.02,0.96,0,0.7202708498702,0.727840022426197,0.724433894775998
dispersed,2,0.04,0.04,0.92,0,0.725011131797486,0.723302455230888,0.724071359685857
dispersed,3,0.04,0.02,0.94,0,0.723453224881335,0.724572090709882,0.724068601087036
dispersed,4,0.02,0,0.98,0,0.718697254236084,0.727931326458693,0.723775993958519
dispersed,5,0.06,0.04,0.9,0,0.728163039012564,0.720099787860875,0.723728250879135
dispersed,6,0.06,0.06,0.88,0,0.72970525721075,0.718345594630125,0.723457442791406
dispersed,7,0.08,0.06,0.86,0,0.73282669662977,0.715595348171542,0.723349454977745
dispersed,8,0.1,0.08,0.82,0,0.737444197732954,0.711001324710813,0.722900617570776
dispersed,9,0.08,0.08,0.84,0,0.734353226109992,0.713488023593631,0.722877364725993
dispersed,10,0.04,0.04,0.9,0.02,0.723475993728327,0.721759489924315,0.722531916636121
