alpha,delta,AvgPayoff,TheoreticalBound,EpsRequired,RobustIncrement,PassRatePct
0.3,0,0.870808546101465,0,0.051811994149825,0,100
0.3,0.05,0.876771865451734,0.0769092046683384,0.0830685094147654,0.0311107367081881,100
0.3,0.1,0.87944124907952,0.153945897994106,0.111659831316729,0.0592673289151125,100
0.3,0.2,0.876021040740924,0.308417997476156,0.160435716400312,0.106352223586172,100
0.5,0,0.870808546101465,0,0.051811994149825,0,100
0.5,0.05,0.874629219721769,0.0549238824133393,0.0744576676315745,0.0224998933958551,100
0.5,0.1,0.875250568446215,0.109921298578408,0.0957996376235277,0.0434071551666443,100
0.5,0.2,0.867923677709087,0.220176079090053,0.133921132860702,0.0798376738614663,100
0.8,0,0.870808546101465,0,0.051811994149825,0,100
0.8,0.05,0.871363403579182,0.0219624858231272,0.0611266646103485,0.00916888807699312,100
0.8,0.1,0.868704206235186,0.0439421925990405,0.0704287596663113,0.0180360527377108,100
0.8,0.2,0.854461022238381,0.0879811056396593,0.0886023418211025,0.0345187671975867,100
1,0,0.870808546101465,0,0.051811994149825,0,100
1,0.05,0.86915424488793,0,0.0519577780674715,0,100
1,0.1,0.864211032830073,0,0.052392710016902,0,100
1,0.2,0.844766646264777,0,0.0540835790591039,0,100
