delta,Method,AvgPayoff,DecisionMargin,WorstCase_Q5
0,Type-1,0.737869228415559,0,0.737869228415559
0,IT2-midpoint,0.737869228415559,0,0.737869228415559
0,Hurwicz-fixed,0.740939129039503,0.0191665931964135,0.740939129039503
0,Proposed,0.737869228415559,0,0.737869228415559
0,Worst-case(a->0),0.737869228415559,0,0.737869228415559
0.05,Type-1,0.737869228415559,0,0.728746614978467
0.05,IT2-midpoint,0.737869228415559,0,0.728746614978467
0.05,Hurwicz-fixed,0.740939129039503,0.0191665931964135,0.731734836469466
0.05,Proposed,0.740939129039503,0.0191665931964135,0.731734836469466
0.05,Worst-case(a->0),0.744014975076641,0.038026433365984,0.734728417192614
0.1,Type-1,0.737869228415559,0,0.719624001541375
0.1,IT2-midpoint,0.737869228415559,0,0.719624001541375
0.1,Hurwicz-fixed,0.740939129039503,0.0191665931964135,0.722530543899429
0.1,Proposed,0.744014975076641,0.0380264333659841,0.725441859308588
0.1,Worst-case(a->0),0.750140677181883,0.0747982539142547,0.731237387503009
0.2,Type-1,0.737869228415559,0,0.69312220088319
0.2,IT2-midpoint,0.737869228415559,0,0.69312220088319
0.2,Hurwicz-fixed,0.740939129039503,0.0191665931964135,0.695608067945883
0.2,Proposed,0.750140677181883,0.0747982539142546,0.703004180704882
0.2,Worst-case(a->0),0.762142865776516,0.144422616308585,0.713126581233187
