alpha,ExpectedPayoff,WorstCase_Q5,CE_gamma,DecisionMargin,SCShare,FocusS
0,0.750788806198972,0.706649746372148,0.72871927628556,0.182432966708241,0.104190128126207,10
0.1,0.753209313415365,0.703138477710704,0.728173895563035,0.164764111474999,0.118265981844157,10
0.2,0.755755675864358,0.699023900050049,0.727389787957204,0.146985031535643,0.133825307902029,10
0.3,0.758416044400303,0.694394748814613,0.726405396607458,0.129084925561759,0.150839791636041,10
0.4,0.76118434449217,0.68934281919214,0.725263581842155,0.111056884022423,0.169358620680514,10
0.5,0.764048286979977,0.683775893432047,0.723912090206012,0.0928947167254586,0.189387150479049,10
0.6,0.766989793161642,0.677651804647093,0.722320798904368,0.0745933320484822,0.210830460723012,10
0.7,0.769989184961578,0.670940560474367,0.720464872717973,0.056151177504491,0.233645507921468,10
0.8,0.773028243267912,0.663704688663078,0.718366465965495,0.0375688093176043,0.257700474234426,10
0.9,0.776083260549598,0.655963171850867,0.716023216200232,0.0188497415746071,0.282876734139389,10
1,0.77913657126975,0.647749266940595,0.713442919105173,0,0.309039083258934,10
