N,Method,Class,NativeCriterion,ConvergedRate,RoundsMean,RoundsCI95,qHatMean,qHatCI95,CommonAlphaExploitabilityMean,CommonAlphaExploitabilityCI95,AvgPayoffMean,AvgPayoffCI95,WorstCaseQ5Mean,WorstCaseQ5CI95,RuntimeMeanSec,RuntimeCI95Sec,Certificate
20,Proposed IT2-W-FBRI,Proposed,max strategy-step L1,1,22,0,0.68308020363794,6.48865182048438e-05,0.0571250456291402,6.04704310514135e-08,0.892559346612951,3.64128036018786e-08,0.867408896748266,0.00243802417473361,0.003988475,0.00132966827467149,base Gamma_alpha certificate; focused point empirical
20,Isobe-APP,Convergence SOTA,outer-anchor L1,1,69,0,0.849497907021427,3.35667379800597e-05,3.28175696183153e-06,8.04824576338932e-09,0.965622508052314,4.32701239066146e-09,0.92212231011972,0.00553793475522376,0.007410595,0.00289866023169542,none
20,RQE,Robust SOTA,quantal fixed-point L1,1,32,0,0.75711465262075,0,0.0877651857582546,0,0.838864799497532,0,0.814943504648214,0.00237335948894629,0.44812566,0.194681396277868,none
20,MF-RQE,Robust SOTA,quantal fixed-point L1,1,29,0,0.728542306250493,5.33098731215565e-17,0.0643011356873564,0,0.881358123813592,0,0.856804234787101,0.0025977272549623,0.37532638,0.0208414418256082,none
20,CVaR-game,Robust SOTA,mixed best-response fixed-point L1,1,28,0,0.700000000000027,1.06619746243113e-16,8.34693067353065e-06,0,0.965615896287987,0,0.922112123311365,0.00553854862049111,0.120580565,0.0439037220783944,none
20,DRNE-VI,Robust SOTA,worst-distribution exploitability,0,300,0,0.991721255685723,0,0.00424866672834412,0,0.961821603615627,0,0.923860051718586,0.00481362921654155,0.00803982,0.00252219811497473,none
50,Proposed IT2-W-FBRI,Proposed,max strategy-step L1,1,22,0,0.683108080098638,5.81909123035082e-05,0.0571251252096725,6.47745294357719e-08,0.89255938975592,3.62506695890379e-08,0.867408935253832,0.0024380138524933,0.00428213,0.00035126728255514,base Gamma_alpha certificate; focused point empirical
50,Isobe-APP,Convergence SOTA,outer-anchor L1,1,69,0,0.849515368099205,2.50657252566981e-05,3.28926091678894e-06,5.71530804996909e-09,0.965622507359733,2.17050890283169e-09,0.922122313872362,0.00553793646460434,0.006800425,0.000536494746160609,none
50,RQE,Robust SOTA,quantal fixed-point L1,1,32,0,0.75711465262075,0,0.0877651857582546,0,0.838864799497532,5.33098731215565e-17,0.814943504648214,0.00237335948894627,0.32871752,0.00776607898356918,none
50,MF-RQE,Robust SOTA,quantal fixed-point L1,1,29,0,0.728542306250493,5.33098731215565e-17,0.0643011356873565,1.33274682803891e-17,0.881358123813592,5.33098731215565e-17,0.856804234787101,0.00259772725496231,0.353387745,0.0103904948844746,none
50,CVaR-game,Robust SOTA,mixed best-response fixed-point L1,1,28,0,0.700000000000027,1.06619746243113e-16,8.34693067353065e-06,0,0.965615896287987,1.06619746243113e-16,0.922112123311365,0.00553854862049112,0.098742945,0.0039143535214635,none
50,DRNE-VI,Robust SOTA,worst-distribution exploitability,0,300,0,0.991721255685723,0,0.00424866672834412,0,0.961821603615627,1.06619746243113e-16,0.923860051718586,0.00481362921654153,0.006852915,0.000636596422740076,none
100,Proposed IT2-W-FBRI,Proposed,max strategy-step L1,1,22,0,0.683105617178133,4.30701800990644e-05,0.057125190127286,5.68695485401174e-08,0.892559377055393,1.39392888707978e-08,0.867408921655588,0.00243801404969288,0.0062672,0.000225499667646284,base Gamma_alpha certificate; focused point empirical
100,Isobe-APP,Convergence SOTA,outer-anchor L1,1,69,0,0.84956015971183,1.25000923548761e-05,3.30330171188775e-06,2.91527610756549e-09,0.965622509673357,2.00219515357778e-09,0.922122312927786,0.00553793579702534,0.012578655,0.00102766189413237,none
100,RQE,Robust SOTA,quantal fixed-point L1,1,32,0,0.75711465262075,0,0.0877651857582546,1.99912024205837e-17,0.838864799497532,5.33098731215565e-17,0.814943504648214,0.00237335948894629,0.318049915,0.00731946685449728,none
100,MF-RQE,Robust SOTA,quantal fixed-point L1,1,29,0,0.728542306250493,5.33098731215565e-17,0.0643011356873565,1.33274682803891e-17,0.881358123813592,1.06619746243113e-16,0.856804234787101,0.00259772725496232,0.342114045,0.00991278141310225,none
100,CVaR-game,Robust SOTA,mixed best-response fixed-point L1,1,28,0,0.700000000000027,1.06619746243113e-16,8.34693067353065e-06,0,0.965615896287987,0,0.922112123311365,0.00553854862049109,0.091117605,0.00244041222585235,none
100,DRNE-VI,Robust SOTA,worst-distribution exploitability,0,300,0,0.991721255685723,0,0.00424866672834412,0,0.961821603615627,0,0.923860051718586,0.00481362921654156,0.00670677,0.000540978752006948,none
