N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,42,Proposed IT2-W-FBRI,Proposed,1,45,0.856488110554951,7.733523222405e-05,max strategy-step L1,0.0101278438642901,0.815805922898883,0.807505772593294,0.811240840230809,0.00830015030558906,2.35920204892202e-05,0.030003,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,42,Isobe-APP,Convergence SOTA,1,42,0.778359918920369,9.77189036669309e-05,outer-anchor L1,7.2185155852722e-08,0.841313386499904,0.380365262397147,0.587791918243388,0.460948124102757,0.999952604051967,0.0063793,1,0,none
50,42,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.794754785039059,0.623828093378294,0.700745104625638,0.170926691660766,0.389135510165119,0.5284172,1,0.2,none
50,42,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776709505240689,0.656712083541157,0.710710923305946,0.119997421699532,0.273686363205582,0.2395891,1,0.2,none
50,42,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.74090315079446,0.730729717192061,0.73530776231314,0.0101734336023995,1.14996634136185e-05,0.1398524,1,0.2,none
50,42,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797731454708063,0.673763859968741,0.729549277601436,0.123967594739323,0.288843548536262,0.0108246,1,0.2,none
50,43,Proposed IT2-W-FBRI,Proposed,1,45,0.856453125902244,7.7335156744711e-05,max strategy-step L1,0.0101278438646012,0.815984941438753,0.807276985300142,0.811195565562517,0.00870795613861119,2.35920647651776e-05,0.0084863,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,43,Isobe-APP,Convergence SOTA,1,42,0.778452196081494,9.81181020983925e-05,outer-anchor L1,7.24808013607969e-08,0.841733202674118,0.378581965324306,0.587000022131722,0.463151237349812,0.999952680845484,0.0050163,1,0,none
50,43,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.794971138161193,0.623441641459691,0.700629914975367,0.171529496701502,0.389135510165119,0.2893034,1,0.2,none
50,43,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776877009354071,0.656507918271864,0.710674009258857,0.120369091082207,0.273686363205582,0.2235659,1,0.2,none
50,43,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740635814454726,0.731102363701898,0.735392416540671,0.00953345075282808,1.14996634136185e-05,0.1039129,1,0.2,none
50,43,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797922228377057,0.673595639525011,0.729542604508431,0.124326588852046,0.288843548536262,0.0061341,1,0.2,none
50,44,Proposed IT2-W-FBRI,Proposed,1,45,0.856617006477584,7.7335262147761e-05,max strategy-step L1,0.0101278438581331,0.815876385952121,0.807338333046172,0.811180456853849,0.00853805290594911,2.35921024795897e-05,0.0090855,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,44,Isobe-APP,Convergence SOTA,1,42,0.77831981452763,9.75022309459186e-05,outer-anchor L1,7.20259349940022e-08,0.843858503982995,0.380464381307722,0.588991736511595,0.463394122675273,0.999952767294405,0.0043718,1,0,none
50,44,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795660272990288,0.623838906981698,0.701158521685563,0.17182136600859,0.389135510165119,0.2612026,1,0.2,none
50,44,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777333349343959,0.656658597680465,0.710962235929037,0.120674751663494,0.273686363205582,0.2404421,1,0.2,none
50,44,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740723505632532,0.730901682487285,0.735321502902646,0.00982182314524671,1.14996634136185e-05,0.1051595,1,0.2,none
50,44,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798386329659233,0.673640839578724,0.729776310114953,0.124745490080509,0.288843548536262,0.0085384,1,0.2,none
50,45,Proposed IT2-W-FBRI,Proposed,1,45,0.856651895136109,7.73353433144057e-05,max strategy-step L1,0.0101278438635208,0.815741585458527,0.8070216891859,0.810945642508582,0.00871989627262637,2.35920390848879e-05,0.0114076,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,45,Isobe-APP,Convergence SOTA,1,42,0.778492887760258,9.83849418722278e-05,outer-anchor L1,7.2677947104971e-08,0.84325753520369,0.379895459626296,0.588408393636123,0.463362075577394,0.999952595289681,0.0042761,1,0,none
50,45,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795507100424353,0.623664439118429,0.700993636706095,0.171842661305925,0.389135510165119,0.2647555,1,0.2,none
50,45,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777262077798671,0.656610051727722,0.710903463459649,0.120652026070948,0.273686363205582,0.2279446,1,0.2,none
50,45,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740804248961771,0.730457165061772,0.735113352816771,0.0103470838999986,1.14996634136185e-05,0.0995627,1,0.2,none
50,45,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798288521846065,0.673945431289208,0.729899822039794,0.124343090556857,0.288843548536262,0.0063659,1,0.2,none
50,46,Proposed IT2-W-FBRI,Proposed,1,45,0.856219692833109,7.73352495270749e-05,max strategy-step L1,0.0101278438647034,0.815857328517075,0.807203932505746,0.811097960710844,0.00865339601132931,2.35920456607241e-05,0.0128411,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,46,Isobe-APP,Convergence SOTA,1,42,0.778416349807857,9.80358604239246e-05,outer-anchor L1,7.24197153356698e-08,0.850759044978407,0.381849419825268,0.592858751144181,0.468909625153139,0.99995266671164,0.0046547,1,0,none
50,46,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.798281136976218,0.624758649227747,0.702843768714559,0.173522487748471,0.389135510165119,0.2568439,1,0.2,none
50,46,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.779195369888751,0.65756817189309,0.712300410991138,0.121627197995661,0.273686363205582,0.2163185,1,0.2,none
50,46,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740531473036172,0.730907241485047,0.735238145683053,0.00962423155112491,1.14996634136185e-05,0.0973615,1,0.2,none
50,46,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.800306701056766,0.674324927277409,0.73101672547812,0.125981773779357,0.288843548536262,0.0061337,1,0.2,none
50,47,Proposed IT2-W-FBRI,Proposed,1,45,0.856588409196752,7.73351488043466e-05,max strategy-step L1,0.0101278438581945,0.815826794227521,0.807453509696286,0.811221487735342,0.00837328453123543,2.35920252915969e-05,0.0079666,0.5,0.2,base Gamma_alpha certificate; focused point empirical
