N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,42,Proposed IT2-W-FBRI,Proposed,1,41,0.872128124440222,8.10301390936649e-05,max strategy-step L1,0.0122496799810137,0.71301177210447,0.726356734939261,0.720351501663605,-0.013344962834791,0.00031878277444515,0.0285409,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,42,Isobe-APP,Convergence SOTA,1,42,0.778359918920369,9.77189036669309e-05,outer-anchor L1,7.2185155852722e-08,0.848863231202341,0.381718123744354,0.591933422100448,0.467145107457987,0.999952604051967,0.0064744,1,0,none
50,42,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.784457748812467,0.624328682929911,0.696386762577061,0.160129065882556,0.389135510165119,0.4773775,1,0.2,none
50,42,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762921496882225,0.649234849883571,0.700393841032965,0.113686646998653,0.273686363205582,0.2377121,1,0.2,none
50,42,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.712272204984314,0.726095735760593,0.719875146911268,-0.0138235307762784,1.14996634136185e-05,0.1423194,1,0.2,none
50,42,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.783029970665781,0.644858971916928,0.707035921353912,0.138170998748853,0.288843548536262,0.012406,1,0.2,none
50,43,Proposed IT2-W-FBRI,Proposed,1,41,0.871981573088786,8.10303379200795e-05,max strategy-step L1,0.0122496799789269,0.717818775445923,0.728205443455749,0.723531442851327,-0.010386668009826,0.00031878295704026,0.0075795,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,43,Isobe-APP,Convergence SOTA,1,42,0.778452196081494,9.81181020983925e-05,outer-anchor L1,7.24808013607969e-08,0.849956648053376,0.382555727699398,0.592886141858688,0.467400920353978,0.999952680845484,0.0051381,1,0,none
50,43,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783627902884798,0.624650278088503,0.696190209246836,0.158977624796295,0.389135510165119,0.3298265,1,0.2,none
50,43,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762087787887001,0.649566953262668,0.700201328843618,0.112520834624333,0.273686363205582,0.2622546,1,0.2,none
50,43,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.717177680114846,0.727507717763233,0.722859200821458,-0.0103300376483868,1.14996634136185e-05,0.1078676,1,0.2,none
50,43,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.782821156034885,0.645683015570869,0.707395178779676,0.137138140464016,0.288843548536262,0.006226,1,0.2,none
50,44,Proposed IT2-W-FBRI,Proposed,1,41,0.87265230827882,8.10302670709721e-05,max strategy-step L1,0.012249679961006,0.715233057633023,0.726018669644588,0.721165144239384,-0.0107856120115651,0.000318783117353431,0.0062315,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,44,Isobe-APP,Convergence SOTA,1,42,0.77831981452763,9.75022309459186e-05,outer-anchor L1,7.20259349940022e-08,0.847211027652084,0.381258118097528,0.590936927397078,0.465952909554556,0.999952767294405,0.0061806,1,0,none
50,44,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783286827098029,0.62410094019689,0.695734589302403,0.159185886901139,0.389135510165119,0.2653559,1,0.2,none
50,44,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762037851522045,0.649273071226979,0.700017222359759,0.112764780295066,0.273686363205582,0.2520205,1,0.2,none
50,44,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.714543140305496,0.726913913270465,0.721347065436229,-0.0123707729649691,1.14996634136185e-05,0.1050699,1,0.2,none
50,44,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.782204757107307,0.645179291617981,0.706840751088178,0.137025465489325,0.288843548536262,0.0064932,1,0.2,none
50,45,Proposed IT2-W-FBRI,Proposed,1,41,0.872804214147144,8.10297673976829e-05,max strategy-step L1,0.0122496799752996,0.716924736428019,0.728136876428909,0.723091413428508,-0.01121214000089,0.000318782854873692,0.0064313,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,45,Isobe-APP,Convergence SOTA,1,42,0.778492887760258,9.83849418722278e-05,outer-anchor L1,7.2677947104971e-08,0.844010621765792,0.379931481679198,0.588767094718165,0.464079140086594,0.999952595289681,0.0042301,1,0,none
50,45,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.782393066639689,0.624041432770991,0.695299668011905,0.158351633868697,0.389135510165119,0.3021594,1,0.2,none
50,45,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.761602336672339,0.649514920588109,0.699954257826013,0.11208741608423,0.273686363205582,0.2188652,1,0.2,none
50,45,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.716250468914842,0.727506968270063,0.722441543560214,-0.0112564993552209,1.14996634136185e-05,0.0959448,1,0.2,none
50,45,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.781913028475146,0.645762783016747,0.707030393473027,0.136150245458399,0.288843548536262,0.0062598,1,0.2,none
50,46,Proposed IT2-W-FBRI,Proposed,1,41,0.871048157047484,8.10300878165471e-05,max strategy-step L1,0.0122496799802574,0.714193487024417,0.726905317858668,0.721184993983255,-0.0127118308342518,0.000318782871998471,0.0073213,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,46,Isobe-APP,Convergence SOTA,1,42,0.778416349807857,9.80358604239246e-05,outer-anchor L1,7.24197153356698e-08,0.848384468468339,0.38251955661292,0.592158766947859,0.465864911855419,0.99995266671164,0.0067759,1,0,none
50,46,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783662645104647,0.62443145402754,0.696085490012238,0.159231191077107,0.389135510165119,0.2756993,1,0.2,none
50,46,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762583471456967,0.648910481223229,0.700063326828411,0.113672990233738,0.273686363205582,0.2142028,1,0.2,none
50,46,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.71351114826231,0.726857745079965,0.72085177651202,-0.0133465968176548,1.14996634136185e-05,0.1153638,1,0.2,none
50,46,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.781565264222076,0.644324381398865,0.70608277866931,0.137240882823211,0.288843548536262,0.0064257,1,0.2,none
50,47,Proposed IT2-W-FBRI,Proposed,1,41,0.872539140831934,8.10301886149773e-05,max strategy-step L1,0.0122496799521211,0.719162676664896,0.728554345369194,0.72432809445226,-0.00939166870429786,0.000318782803199501,0.0059107,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,47,Isobe-APP,Convergence SOTA,1,42,0.778476212829327,9.81436152675066e-05,outer-anchor L1,7.24987345712691e-08,0.84717599211397,0.382408179890153,0.591553695390871,0.464767812223817,0.999952543715388,0.0039777,1,0,none
50,47,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783148371053648,0.62432165264512,0.695793675928957,0.158826718408528,0.389135510165119,0.2671113,1,0.2,none
50,47,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762044096498268,0.649359497506732,0.700067567052923,0.112684598991536,0.273686363205582,0.2091792,1,0.2,none
50,47,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.71852842731061,0.727950406880322,0.723710516073951,-0.00942197956971225,1.14996634136185e-05,0.102633,1,0.2,none
50,47,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.78278736301999,0.645528424982571,0.70729494709941,0.137258938037419,0.288843548536262,0.0062803,1,0.2,none
50,48,Proposed IT2-W-FBRI,Proposed,1,41,0.873275650504792,8.10299008703111e-05,max strategy-step L1,0.0122496799616019,0.717578134347564,0.728168596421958,0.723402888488481,-0.0105904620743933,0.000318782698628214,0.0100286,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,48,Isobe-APP,Convergence SOTA,1,42,0.778476763849789,9.81558337837601e-05,outer-anchor L1,7.25080543384493e-08,0.848311308602564,0.382429286768177,0.592076196593651,0.465882021834388,0.999952661467819,0.0048914,1,0,none
50,48,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.78328571758253,0.62391875800952,0.695633889817375,0.159366959573009,0.389135510165119,0.2605495,1,0.2,none
50,48,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.761807263612351,0.649875579914393,0.700244837578474,0.111931683697958,0.273686363205582,0.1894651,1,0.2,none
50,48,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.716920951457746,0.728011580056018,0.723020797186796,-0.0110906285982723,1.14996634136185e-05,0.0923807,1,0.2,none
50,48,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.78287412490828,0.645980766563583,0.707582777818696,0.136893358344697,0.288843548536262,0.0075075,1,0.2,none
50,49,Proposed IT2-W-FBRI,Proposed,1,41,0.871510172091162,8.10300875022641e-05,max strategy-step L1,0.0122496799878141,0.712043279757346,0.726387558836713,0.719932633250998,-0.0143442790793668,0.000318783283880951,0.0063138,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,49,Isobe-APP,Convergence SOTA,1,42,0.778296788758546,9.74495124171826e-05,outer-anchor L1,7.19863875175974e-08,0.847931179789306,0.381124545063849,0.591187530690304,0.466806634725457,0.999952739540629,0.0042027,1,0,none
50,49,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.781734488770034,0.623818976654926,0.694880957106724,0.157915512115108,0.389135510165119,0.2668915,1,0.2,none
50,49,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.759902231473616,0.649174388114813,0.699001917626274,0.110727843358803,0.273686363205582,0.2633051,1,0.2,none
50,49,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.711340473822287,0.72580363792734,0.719295214080066,-0.0144631641050534,1.14996634136185e-05,0.0958606,1,0.2,none
50,49,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.780597629901576,0.644695386212843,0.705851395872773,0.135902243688734,0.288843548536262,0.0061935,1,0.2,none
50,50,Proposed IT2-W-FBRI,Proposed,1,41,0.872757558801493,8.10303572830787e-05,max strategy-step L1,0.0122496799626367,0.717449268237678,0.727596850334145,0.723030438390735,-0.0101475820964673,0.000318783308783493,0.0082033,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,50,Isobe-APP,Convergence SOTA,1,42,0.778479506587461,9.8248325618175e-05,outer-anchor L1,7.25761324371632e-08,0.848464803286214,0.380200124359166,0.590919229876337,0.468264678927048,0.999952752349561,0.0040359,1,0,none
50,50,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783580759511663,0.624304840067842,0.695979003817562,0.15927591944382,0.389135510165119,0.245881,1,0.2,none
50,50,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762109878577552,0.649407317389219,0.700123469923969,0.112702561188333,0.273686363205582,0.2116677,1,0.2,none
50,50,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.716784014994723,0.727478459131007,0.722665959269679,-0.0106944441362847,1.14996634136185e-05,0.1088163,1,0.2,none
50,50,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.78315283993565,0.645468710440061,0.707426568713076,0.137684129495589,0.288843548536262,0.0082415,1,0.2,none
50,51,Proposed IT2-W-FBRI,Proposed,1,41,0.872761818670817,8.10298901546042e-05,max strategy-step L1,0.0122496799701511,0.718187043211821,0.728707700654128,0.72397340480509,-0.0105206574423069,0.000318782814209194,0.0061953,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,51,Isobe-APP,Convergence SOTA,1,42,0.778353791548097,9.7589840470178e-05,outer-anchor L1,7.2090238556477e-08,0.844575828435644,0.379346107357912,0.588699481842891,0.465229721077733,0.999952769308014,0.0059223,1,0,none
50,51,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.782510482499902,0.623639041593779,0.695131190001534,0.158871440906123,0.389135510165119,0.229483,1,0.2,none
50,51,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.76166741842455,0.64971104810067,0.700091414746416,0.11195637032388,0.273686363205582,0.2159583,1,0.2,none
50,51,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.717535768864124,0.728344999082748,0.723480845484367,-0.0108092302186238,1.14996634136185e-05,0.093861,1,0.2,none
