N,Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject
20,Isobe-APP,CommonAlphaExploitability,0.0571217638721783,0.0571217000894106,0.0571218276549461,1,1.66124543128623e-108,419138.418653928,20,6.64498172514491e-108,1
20,Isobe-APP,AvgPayoff,-0.0730631614393629,-0.0730631994530865,-0.0730631234256394,1,8.29655131295221e-115,-899533.352009507,20,3.31862052518088e-114,1
20,Isobe-APP,WorstCaseQ5,-0.0547134133714534,-0.0607238676830241,-0.0487029590598826,1,7.67850025186955e-14,-4.26035443493064,20,1.53570005037391e-13,1
20,Isobe-APP,RuntimeSec,-0.00342212,-0.00595535611461645,-0.000888883885383544,1,0.0107599672363871,-0.632235365371864,20,0.0107599672363871,1
20,RQE,CommonAlphaExploitability,-0.0306401401291145,-0.0306402005995455,-0.0306400796586834,1,8.31944881742359e-104,-237141.140650352,20,1.66388976348472e-103,1
20,RQE,AvgPayoff,0.0536945471154183,0.0536945107026147,0.0536945835282219,1,1.27483885621069e-112,690136.960366118,20,2.54967771242138e-112,1
20,RQE,WorstCaseQ5,0.0524653921000525,0.0510722638742342,0.0538585203258709,1,2.27273072314615e-25,17.6254840625819,20,1.13636536157307e-24,1
20,RQE,RuntimeSec,-0.444137185,-0.638174361405492,-0.250100008594507,1,0.000127074668848628,-1.07125142128643,20,0.000381224006545885,1
20,MF-RQE,CommonAlphaExploitability,-0.00717609005821623,-0.00717615052864728,-0.00717602958778518,1,7.90221828717177e-92,-55539.7649829296,20,7.90221828717177e-92,1
20,MF-RQE,AvgPayoff,0.0112012227993586,0.011201186386555,0.0112012592121622,1,1.09165523931809e-99,143969.514046114,20,1.09165523931809e-99,1
20,MF-RQE,WorstCaseQ5,0.0106046619611651,0.00989821152493017,0.0113111123974001,1,7.64713568236845e-18,7.0254533346877,20,3.05885427294738e-17,1
20,MF-RQE,RuntimeSec,-0.371337905,-0.391410289305371,-0.351265520694629,1,1.52961217933196e-19,-8.65823843076215,20,7.64806089665978e-19,1
20,CVaR-game,CommonAlphaExploitability,0.0571166986984666,0.0571166382280356,0.0571167591688977,1,6.04115384729616e-109,442058.000468039,20,3.02057692364808e-108,1
20,CVaR-game,AvgPayoff,-0.0730565496750364,-0.07305658608784,-0.0730565132622328,1,3.66948224562881e-115,-938997.12049323,20,1.83474112281441e-114,1
20,CVaR-game,WorstCaseQ5,-0.0547032265630986,-0.0607143315554578,-0.0486921215707395,1,7.71953203409617e-14,-4.25910013911355,20,1.53570005037391e-13,1
20,CVaR-game,RuntimeSec,-0.11659209,-0.159844395982036,-0.0733397840179644,1,1.93500198590625e-05,-1.26159233723334,20,7.74000794362502e-05,1
20,DRNE-VI,CommonAlphaExploitability,0.0528763789007961,0.052876318430365,0.0528764393712271,1,2.61605178485373e-108,409239.799594787,20,7.8481553545612e-108,1
20,DRNE-VI,AvgPayoff,-0.0692622570026762,-0.0692622934154798,-0.0692622205898726,1,1.01086377010748e-114,-890229.009906258,20,3.31862052518088e-114,1
