Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject
Isobe-APP,CommonAlphaExploitability,0.0101277715966839,0.0101277714718034,0.0101277717215643,1,1.09377813784103e-145,37955853.6327231,20,1.09377813784103e-145,1
Isobe-APP,ExpectedPayoff,-0.0281721350926049,-0.02958559312801,-0.0267586770571998,1,3.77079347348932e-20,-9.32816168056112,20,3.77079347348932e-20,1
Isobe-APP,WorstCaseQ5,0.427206670175069,0.426510004085153,0.427903336264986,1,2.21616197060327e-48,286.993839738463,20,4.43232394120654e-48,1
Isobe-APP,CE_gamma,0.222286207804616,0.221321462258051,0.223250953351181,1,2.64535871954129e-40,107.834804702085,20,2.64535871954129e-40,1
Isobe-APP,PayoffDegradation,-0.455378805267674,-0.456353730617581,-0.454403879917767,1,3.90476461175325e-46,-218.60529246047,20,1.95238230587662e-45,1
Isobe-APP,SCShare,-0.999929061759725,-0.999929100342442,-0.999929023177009,1,2.83366907606189e-136,-12129296.4584007,20,5.66733815212379e-136,1
Isobe-APP,RuntimeSec,0.005320315,0.00319920812712569,0.00744142187287431,1,4.56369750546745e-05,1.17390787731399,20,9.1273950109349e-05,1
RQE,CommonAlphaExploitability,-0.000381510929003392,-0.000381510930513548,-0.000381510927493237,1,4.60339125399093e-155,-118234610.158831,20,9.20678250798186e-155,1
RQE,ExpectedPayoff,0.0200653507231998,0.0195423177376238,0.0205883837087759,1,1.60067135342339e-25,17.9546481145606,20,3.20134270684678e-25,1
RQE,WorstCaseQ5,0.183559723323388,0.183348057844383,0.183771388802392,1,3.06096253094601e-51,405.869655069513,20,1.530481265473e-50,1
RQE,CE_gamma,0.109987255653303,0.10965018919655,0.110324322110056,1,3.55820284206304e-43,152.716531523876,20,1.06746085261891e-42,1
RQE,PayoffDegradation,-0.163494372600188,-0.163865725745754,-0.163123019454622,1,1.20119707965105e-45,-206.051093572562,20,3.60359123895314e-45,1
RQE,SCShare,-0.389111918103654,-0.389111918122598,-0.38911191808471,1,2.34947050386042e-191,-9612925253.19493,20,1.17473525193021e-190,1
RQE,RuntimeSec,-0.257376535,-0.285195563104984,-0.229557506895016,1,5.72464033556052e-14,-4.32998326900067,20,1.71739210066815e-13,1
MF-RQE,CommonAlphaExploitability,-0.00410487112010126,-0.00410487112161142,-0.00410487111859111,1,1.14556458158936e-174,-1272146614.26672,20,5.72782290794679e-174,1
MF-RQE,ExpectedPayoff,0.0384052294515309,0.0380362211241167,0.0387742377789451,1,9.52791295147023e-34,48.7094716564569,20,3.81116518058809e-33,1
MF-RQE,WorstCaseQ5,0.150678562090524,0.150485578320073,0.150871545860975,1,2.25003696994115e-50,365.417970808159,20,9.0001478797646e-50,1
MF-RQE,CE_gamma,0.100155562402977,0.0998970934797791,0.100414031326175,1,1.35868556393562e-44,181.353508606434,20,5.43474225574248e-44,1
MF-RQE,PayoffDegradation,-0.112273332638993,-0.112519125817371,-0.112027539460616,1,5.96746479290647e-46,-213.779477032984,20,2.38698591716259e-45,1
MF-RQE,SCShare,-0.273662771144118,-0.273662771163062,-0.273662771125173,1,1.88489619284604e-188,-6760779203.09244,20,5.65468857853813e-188,1
MF-RQE,RuntimeSec,-0.20879786,-0.214961226718301,-0.202634493281699,1,1.68743241607831e-24,-15.8550368615074,20,8.43716208039157e-24,1
CVaR-game,CommonAlphaExploitability,-0.00213418463822611,-0.00213418463973627,-0.00213418463671596,1,2.85958344540875e-169,-661408283.549819,20,8.57875033622625e-169,1
CVaR-game,ExpectedPayoff,0.0751060541129518,0.0750149810114557,0.0751971272144479,1,7.9590989831217e-51,385.961549093789,20,3.97954949156085e-50,1
CVaR-game,WorstCaseQ5,0.0765830911011865,0.076408145332484,0.076758036869889,1,1.33922043884013e-45,204.874860302975,20,1.33922043884013e-45,1
CVaR-game,CE_gamma,0.0759184244564809,0.0758030469070853,0.0760338020058765,1,5.80723656375202e-49,307.953467069275,20,2.90361828187601e-48,1
CVaR-game,PayoffDegradation,-0.00147703698823475,-0.00164823328534285,-0.00130584069112666,1,2.02166082823721e-13,-4.03790619882677,20,2.02166082823721e-13,1
CVaR-game,SCShare,1.20923980510569e-05,1.20923791067697e-05,1.20924169953441e-05,1,1.03431158613634e-105,298740.007007476,20,1.03431158613634e-105,1
CVaR-game,RuntimeSec,-0.08868478,-0.0916759057027888,-0.0856936542972112,1,2.10226548242982e-23,-13.8762990239704,20,8.40906192971927e-23,1
DRNE-VI,CommonAlphaExploitability,0.00254161168647439,0.00254161168496423,0.00254161168798454,1,1.03427445793112e-170,787674596.139176,20,4.13709783172449e-170,1
DRNE-VI,ExpectedPayoff,0.0173397885124372,0.0169563592093401,0.0177232178155344,1,7.0821445384957e-27,21.1649729494946,20,2.12464336154871e-26,1
