Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject
Isobe-APP,CommonAlphaExploitability,0.0133296595034255,0.0133296595034255,0.0133296595034255,1,NaN,NaN,1,NaN,0
Isobe-APP,ExpectedPayoff,-0.0511288860068646,-0.0511288860068646,-0.0511288860068646,1,NaN,NaN,1,NaN,0
Isobe-APP,WorstCaseQ5,0.365708949001948,0.365708949001948,0.365708949001948,1,NaN,NaN,1,NaN,0
Isobe-APP,CE_gamma,0.178131923247982,0.178131923247982,0.178131923247982,1,NaN,NaN,1,NaN,0
Isobe-APP,PayoffDegradation,-0.416837835008813,-0.416837835008813,-0.416837835008813,1,NaN,NaN,1,NaN,0
Isobe-APP,SCShare,-0.999857330710813,-0.999857330710813,-0.999857330710813,1,NaN,NaN,1,NaN,0
Isobe-APP,RuntimeSec,0.0222918,0.0222918,0.0222918,1,NaN,NaN,1,NaN,0
RQE,CommonAlphaExploitability,0.00282037705075355,0.00282037705075355,0.00282037705075355,1,NaN,NaN,1,NaN,0
RQE,ExpectedPayoff,-0.0139941636362249,-0.0139941636362249,-0.0139941636362249,1,NaN,NaN,1,NaN,0
RQE,WorstCaseQ5,0.142353760286443,0.142353760286443,0.142353760286443,1,NaN,NaN,1,NaN,0
RQE,CE_gamma,0.0719971945212426,0.0719971945212426,0.0719971945212426,1,NaN,NaN,1,NaN,0
RQE,PayoffDegradation,-0.156347923922668,-0.156347923922668,-0.156347923922668,1,NaN,NaN,1,NaN,0
RQE,SCShare,-0.389040159233014,-0.389040159233014,-0.389040159233014,1,NaN,NaN,1,NaN,0
RQE,RuntimeSec,0.0074562,0.0074562,0.0074562,1,NaN,NaN,1,NaN,0
MF-RQE,CommonAlphaExploitability,-0.000902983292558779,-0.000902983292558779,-0.000902983292558779,1,NaN,NaN,1,NaN,0
MF-RQE,ExpectedPayoff,0.0021718782759389,0.0021718782759389,0.0021718782759389,1,NaN,NaN,1,NaN,0
MF-RQE,WorstCaseQ5,0.111028570362478,0.111028570362478,0.111028570362478,1,NaN,NaN,1,NaN,0
MF-RQE,CE_gamma,0.0620430589235352,0.0620430589235352,0.0620430589235352,1,NaN,NaN,1,NaN,0
MF-RQE,PayoffDegradation,-0.108856692086539,-0.108856692086539,-0.108856692086539,1,NaN,NaN,1,NaN,0
MF-RQE,SCShare,-0.273591008483967,-0.273591008483967,-0.273591008483967,1,NaN,NaN,1,NaN,0
MF-RQE,RuntimeSec,0.0082772,0.0082772,0.0082772,1,NaN,NaN,1,NaN,0
CVaR-game,CommonAlphaExploitability,0.00106770326258399,0.00106770326258399,0.00106770326258399,1,NaN,NaN,1,NaN,0
CVaR-game,ExpectedPayoff,0.0352538249583714,0.0352538249583714,0.0352538249583714,1,NaN,NaN,1,NaN,0
CVaR-game,WorstCaseQ5,0.036938157428522,0.036938157428522,0.036938157428522,1,NaN,NaN,1,NaN,0
CVaR-game,CE_gamma,0.0361802078169543,0.0361802078169543,0.0361802078169543,1,NaN,NaN,1,NaN,0
CVaR-game,PayoffDegradation,-0.00168433247015065,-0.00168433247015065,-0.00168433247015065,1,NaN,NaN,1,NaN,0
CVaR-game,SCShare,8.38540192240621e-05,8.38540192240621e-05,8.38540192240621e-05,1,NaN,NaN,1,NaN,0
CVaR-game,RuntimeSec,-0.709941,-0.709941,-0.709941,1,NaN,NaN,1,NaN,0
DRNE-VI,CommonAlphaExploitability,0.00574349958728437,0.00574349958728437,0.00574349958728437,1,NaN,NaN,1,NaN,0
DRNE-VI,ExpectedPayoff,-0.0187862268809478,-0.0187862268809478,-0.0187862268809478,1,NaN,NaN,1,NaN,0
DRNE-VI,WorstCaseQ5,0.0932323614171267,0.0932323614171267,0.0932323614171267,1,NaN,NaN,1,NaN,0
DRNE-VI,CE_gamma,0.0428239966829932,0.0428239966829932,0.0428239966829932,1,NaN,NaN,1,NaN,0
DRNE-VI,PayoffDegradation,-0.112018588298074,-0.112018588298074,-0.112018588298074,1,NaN,NaN,1,NaN,0
DRNE-VI,SCShare,-0.288748194853625,-0.288748194853625,-0.288748194853625,1,NaN,NaN,1,NaN,0
DRNE-VI,RuntimeSec,0.0180514,0.0180514,0.0180514,1,NaN,NaN,1,NaN,0
