Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero
Isobe-APP,Rounds,-10,-10,-10,1
Isobe-APP,ExpectedPayoff,-0.110162986064107,-0.110162986064107,-0.110162986064107,1
Isobe-APP,WorstCaseQ5,-0.202587212137061,-0.202587212137061,-0.202587212137061,1
Isobe-APP,CE_gamma,-0.160996310404231,-0.160996310404231,-0.160996310404231,1
Isobe-APP,PayoffDegradation,0.092424226072954,0.092424226072954,0.092424226072954,1
Isobe-APP,SCShare,-0.634521220253528,-0.634521220253528,-0.634521220253528,1
Isobe-APP,RuntimeSec,0.0498734,0.0498734,0.0498734,1
RQE,Rounds,12,12,12,1
RQE,ExpectedPayoff,0.00438648499574179,0.00438648499574179,0.00438648499574179,1
RQE,WorstCaseQ5,-0.0123977936927625,-0.0123977936927625,-0.0123977936927625,1
RQE,CE_gamma,-0.00484486828293562,-0.00484486828293562,-0.00484486828293562,1
RQE,PayoffDegradation,0.0167842786885043,0.0167842786885043,0.0167842786885043,1
RQE,SCShare,0.00947819828545954,0.00947819828545954,0.00947819828545954,1
RQE,RuntimeSec,0.0747136,0.0747136,0.0747136,1
MF-RQE,Rounds,16,16,16,1
MF-RQE,ExpectedPayoff,0.0290616929562616,0.0290616929562616,0.0290616929562616,1
MF-RQE,WorstCaseQ5,0.00547793993162582,0.00547793993162582,0.00547793993162582,1
MF-RQE,CE_gamma,0.0160906287927118,0.0160906287927118,0.0160906287927118,1
MF-RQE,PayoffDegradation,0.0235837530246358,0.0235837530246358,0.0235837530246358,1
MF-RQE,SCShare,0.0976420207824347,0.0976420207824347,0.0976420207824347,1
MF-RQE,RuntimeSec,0.0773166,0.0773166,0.0773166,1
CVaR-game,Rounds,7,7,7,1
CVaR-game,ExpectedPayoff,0.199711110120048,0.199711110120048,0.199711110120048,1
CVaR-game,WorstCaseQ5,0.600638117346236,0.600638117346236,0.600638117346236,1
CVaR-game,CE_gamma,0.420220964094452,0.420220964094452,0.420220964094452,1
CVaR-game,PayoffDegradation,-0.400927007226188,-0.400927007226188,-0.400927007226188,1
CVaR-game,SCShare,0.365408325385545,0.365408325385545,0.365408325385545,1
CVaR-game,RuntimeSec,0.0705568,0.0705568,0.0705568,1
DRNE-VI,Rounds,-268,-268,-268,1
DRNE-VI,ExpectedPayoff,0.025262602780964,0.025262602780964,0.025262602780964,1
DRNE-VI,WorstCaseQ5,0.0406935433690315,0.0406935433690315,0.0406935433690315,1
DRNE-VI,CE_gamma,0.0337496201044011,0.0337496201044011,0.0337496201044011,1
DRNE-VI,PayoffDegradation,-0.0154309405880675,-0.0154309405880675,-0.0154309405880675,1
DRNE-VI,SCShare,0.0765983035647741,0.0765983035647741,0.0765983035647741,1
DRNE-VI,RuntimeSec,0.0689868,0.0689868,0.0689868,1
