Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject
Isobe-APP,CommonAlphaExploitability,0.0122496077065674,0.0122496075791957,0.0122496078339392,1,4.28912596463956e-147,45009921.9592339,20,8.57825192927912e-147,1
Isobe-APP,ExpectedPayoff,-0.132410089539332,-0.134263924644215,-0.130556254434449,1,1.21286307605192e-30,-33.4279080682628,20,6.06431538025959e-30,1
Isobe-APP,WorstCaseQ5,0.345557170746969,0.344741511434497,0.346372830059441,1,2.49456298998439e-45,198.276083750076,20,1.2472814949922e-44,1
Isobe-APP,CE_gamma,0.130471903618133,0.129244449857986,0.13169935737828,1,6.38362203658731e-34,49.7474793013828,20,3.19181101829365e-33,1
Isobe-APP,PayoffDegradation,-0.477967260286301,-0.479247710645295,-0.476686809927307,1,2.76379330747928e-44,-174.700691861836,20,1.38189665373964e-43,1
Isobe-APP,SCShare,-0.999633870870209,-0.999633909418332,-0.999633832322087,1,2.80145456712e-136,-12136597.6791902,20,5.60290913424e-136,1
Isobe-APP,RuntimeSec,0.00285553,0.000614141362635455,0.00509691863736455,1,0.0152502982123283,0.59625053669214,20,0.0305005964246566,1
RQE,CommonAlphaExploitability,0.00174032518088019,0.00174032517514676,0.00174032518661362,1,1.40669192848218e-156,142061073.388049,20,4.22007578544654e-156,1
RQE,ExpectedPayoff,-0.0678308664304026,-0.0690821136244218,-0.0665796192363834,1,2.27460004777552e-28,-25.3713437609405,20,6.82380014332656e-28,1
RQE,WorstCaseQ5,0.103037515523229,0.10242340083449,0.103651630211967,1,1.09527511204424e-37,78.5244882606931,20,3.28582533613273e-37,1
RQE,CE_gamma,0.0261467436440945,0.0252776811913005,0.0270158060968884,1,1.59423404245609e-23,14.0807518114076,20,6.37693616982435e-23,1
RQE,PayoffDegradation,-0.170868381953631,-0.171664038126254,-0.170072725781008,1,1.00726066065952e-39,-100.506810739996,20,4.02904264263806e-39,1
RQE,SCShare,-0.388816727214138,-0.388816727295497,-0.38881672713278,1,2.52823607400808e-179,-2236662349.36256,20,1.26411803700404e-178,1
RQE,RuntimeSec,-0.266393895,-0.289421507538793,-0.243366282461207,1,9.61032320060354e-16,-5.41420351034149,20,2.88309696018106e-15,1
MF-RQE,CommonAlphaExploitability,-0.00198303501021768,-0.00198303501595111,-0.00198303500448425,1,1.17733328081243e-157,-161873243.697552,20,4.70933312324973e-157,1
MF-RQE,ExpectedPayoff,-0.0464371007844363,-0.047612699417464,-0.0452615021514085,1,9.20192943238447e-26,-18.4869491584181,20,9.20192943238447e-26,1
MF-RQE,WorstCaseQ5,0.0779631783464758,0.0774775406732628,0.0784488160196888,1,2.53322152417293e-37,75.1339787851081,20,5.06644304834586e-37,1
MF-RQE,CE_gamma,0.0219830527375654,0.0212269364683894,0.0227391690067413,1,3.04579944784225e-23,13.6068826947503,20,9.13739834352674e-23,1
MF-RQE,PayoffDegradation,-0.124400279130912,-0.125252884941712,-0.123547673320112,1,1.55636627565889e-36,-68.2860966444592,20,3.11273255131777e-36,1
MF-RQE,SCShare,-0.273367580254602,-0.273367580335961,-0.273367580173243,1,2.0406960674035e-176,-1572542875.59285,20,6.12208820221051e-176,1
MF-RQE,RuntimeSec,-0.211655575,-0.221122073222168,-0.202189076777832,1,4.3349985811854e-21,-10.4640444623046,20,2.1674992905927e-20,1
CVaR-game,CommonAlphaExploitability,-1.23485283425318e-05,-1.2348534075962e-05,-1.23485226091015e-05,1,9.53866986803183e-116,-1007998.51106882,20,9.53866986803183e-116,1
CVaR-game,ExpectedPayoff,0.000684635521671823,0.000668729563235016,0.00070054148010863,1,1.80725924679643e-26,20.1446073534159,20,3.61451849359286e-26,1
CVaR-game,WorstCaseQ5,0.000273885374508742,9.44995986173992e-05,0.000453271150400085,1,0.00476070491110115,0.714562235165449,20,0.00476070491110115,1
CVaR-game,CE_gamma,0.00045872294073212,0.000362162205148046,0.000555283676316195,1,5.76878429027501e-09,2.22335655915768,20,5.76878429027501e-09,1
CVaR-game,PayoffDegradation,0.00041075014716308,0.000225556115687097,0.000595944178639063,1,0.000177662824747719,1.03803013941275,20,0.000177662824747719,1
CVaR-game,SCShare,0.000307283287566943,0.000307283206208291,0.000307283368925595,1,2.21172838247339e-120,1767642.43262472,20,2.21172838247339e-120,1
CVaR-game,RuntimeSec,-0.093729835,-0.0979849506946674,-0.0894747193053326,1,5.74076643802118e-21,-10.3092174782314,20,2.29630657520847e-20,1
DRNE-VI,CommonAlphaExploitability,0.00466344779635797,0.00466344779062454,0.0046634478020914,1,1.03452597998858e-164,380672765.594693,20,5.17262989994289e-164,1
DRNE-VI,ExpectedPayoff,-0.0668836653144219,-0.0678863710128375,-0.0658809596160063,1,4.44310981186059e-30,-31.2180522867078,20,1.77724392474424e-29,1
DRNE-VI,WorstCaseQ5,0.0823304979968588,0.0820257006187286,0.082635295374989,1,1.29010828844731e-41,126.417948168172,20,5.16043315378924e-41,1
DRNE-VI,CE_gamma,0.0151841245067825,0.014648426570218,0.015719822443347,1,4.92288106365233e-23,13.2656643473792,20,9.84576212730466e-23,1
DRNE-VI,PayoffDegradation,-0.149214163311281,-0.150149576441291,-0.14827875018127,1,2.85960267736491e-37,-74.6561875508144,20,8.57880803209473e-37,1
DRNE-VI,SCShare,-0.288524765585282,-0.28852476566664,-0.288524765503923,1,7.31968935936771e-177,-1659734355.225,20,2.92787574374708e-176,1
DRNE-VI,RuntimeSec,0.000743705,-0.00104874847648109,0.00253615847648109,0,0.396004523702156,0.194183368602593,20,0.396004523702156,0
