Gamma,Learner,ProposedMinusLearnerCE,CI95Low,CI95High,CIExcludesZero
0.3,Isobe-APP,0.108441506487697,0.107355672637523,0.109527340337872,1
0.3,RQE,0.0691136625032562,0.0687208295417015,0.0695064954648108,1
0.3,MF-RQE,0.0720872292432288,0.0718004222047863,0.0723740362816712,1
0.3,CVaR-game,0.0755491652094222,0.0754611538751106,0.0756371765437338,1
0.3,DRNE-VI,0.0521838126084001,0.0518888216904273,0.0524788035263729,1
0.4,Isobe-APP,0.153979387014465,0.15296874708741,0.15499002694152,1
0.4,RQE,0.085463099763275,0.0851016732818334,0.0858245262447166,1
0.4,MF-RQE,0.0833145625071281,0.0830462456143842,0.0835828793998721,1
0.4,CVaR-game,0.0756968689082457,0.075602362103521,0.0757913757129704,1
0.4,DRNE-VI,0.0637984873070544,0.0635232627184975,0.0640737118956114,1
0.55,Isobe-APP,0.222286207804616,0.221382777541937,0.223189638067295,1
0.55,RQE,0.109987255653303,0.109671611762902,0.110302899543704,1
0.55,MF-RQE,0.100155562402977,0.099913520708138,0.100397604097816,1
0.55,CVaR-game,0.0759184244564809,0.0758103798325603,0.0760264690804015,1
0.55,DRNE-VI,0.0812204993550359,0.0809727686375379,0.0814682300725338,1
0.7,Isobe-APP,0.290593028594767,0.289787741696712,0.291398315492822,1
0.7,RQE,0.134511411543331,0.134239244447537,0.134783578639126,1
0.7,MF-RQE,0.116996562298826,0.116778483271996,0.117214641325656,1
0.7,CVaR-game,0.0761399800047161,0.076015190995544,0.0762647690138882,1
0.7,DRNE-VI,0.0986425114030173,0.0984188449430713,0.0988661778629633,1
0.85,Isobe-APP,0.358899849384918,0.358179922091281,0.359619776678556,1
0.85,RQE,0.159035567433359,0.15880327303191,0.159267861834809,1
0.85,MF-RQE,0.133837562194675,0.133640288793936,0.134034835595414,1
0.85,CVaR-game,0.0763615355529513,0.0762179127682155,0.0765051583376871,1
0.85,DRNE-VI,0.116064523450999,0.115860275795236,0.116268771106762,1
