Gamma,Learner,ProposedMinusLearnerCE,CI95Low,CI95High,CIExcludesZero
0.3,Isobe-APP,0.0739224644957792,0.0739224644957792,0.0739224644957792,1
0.3,RQE,0.0329102135405757,0.0329102135405757,0.0329102135405757,1
0.3,MF-RQE,0.0348288859019006,0.0348288859019006,0.0348288859019006,1
0.3,CVaR-game,0.0357591246994166,0.0357591246994166,0.0357591246994166,1
0.3,DRNE-VI,0.0148193496084746,0.0148193496084746,0.0148193496084746,1
0.4,Isobe-APP,0.115606247996661,0.115606247996661,0.115606247996661,1
0.4,RQE,0.0485450059328425,0.0485450059328425,0.0485450059328425,1
0.4,MF-RQE,0.0457145551105544,0.0457145551105544,0.0457145551105544,1
0.4,CVaR-game,0.0359275579464317,0.0359275579464317,0.0359275579464317,1
0.4,DRNE-VI,0.026021208438282,0.026021208438282,0.026021208438282,1
0.55,Isobe-APP,0.178131923247982,0.178131923247982,0.178131923247982,1
0.55,RQE,0.0719971945212426,0.0719971945212426,0.0719971945212426,1
0.55,MF-RQE,0.0620430589235352,0.0620430589235352,0.0620430589235352,1
0.55,CVaR-game,0.0361802078169543,0.0361802078169543,0.0361802078169543,1
0.55,DRNE-VI,0.0428239966829932,0.0428239966829932,0.0428239966829932,1
0.7,Isobe-APP,0.240657598499304,0.240657598499304,0.240657598499304,1
0.7,RQE,0.0954493831096429,0.0954493831096429,0.0954493831096429,1
0.7,MF-RQE,0.078371562736516,0.078371562736516,0.078371562736516,1
0.7,CVaR-game,0.0364328576874768,0.0364328576874768,0.0364328576874768,1
0.7,DRNE-VI,0.0596267849277043,0.0596267849277043,0.0596267849277043,1
0.85,Isobe-APP,0.303183273750626,0.303183273750626,0.303183273750626,1
0.85,RQE,0.118901571698043,0.118901571698043,0.118901571698043,1
0.85,MF-RQE,0.0947000665494967,0.0947000665494967,0.0947000665494967,1
0.85,CVaR-game,0.0366855075579993,0.0366855075579993,0.0366855075579993,1
0.85,DRNE-VI,0.0764295731724154,0.0764295731724154,0.0764295731724154,1
