Gamma,Learner,ProposedMinusLearnerCE,CI95Low,CI95High,CIExcludesZero
0.3,Isobe-APP,-0.137890253885993,-0.137890253885993,-0.137890253885993,1
0.3,RQE,-0.000648798610809465,-0.000648798610809465,-0.000648798610809465,1
0.3,MF-RQE,0.0219865670488708,0.0219865670488708,0.0219865670488708,1
0.3,CVaR-game,0.319989212287905,0.319989212287905,0.319989212287905,1
0.3,DRNE-VI,0.0298918849573843,0.0298918849573843,0.0298918849573843,1
0.4,Isobe-APP,-0.147132676493288,-0.147132676493288,-0.147132676493288,1
0.4,RQE,-0.00232722647965988,-0.00232722647965988,-0.00232722647965988,1
0.4,MF-RQE,0.0196281917464072,0.0196281917464072,0.0196281917464072,1
0.4,CVaR-game,0.360081913010523,0.360081913010523,0.360081913010523,1
0.4,DRNE-VI,0.031434979016191,0.031434979016191,0.031434979016191,1
0.55,Isobe-APP,-0.160996310404231,-0.160996310404231,-0.160996310404231,1
0.55,RQE,-0.00484486828293562,-0.00484486828293562,-0.00484486828293562,1
0.55,MF-RQE,0.0160906287927118,0.0160906287927118,0.0160906287927118,1
0.55,CVaR-game,0.420220964094452,0.420220964094452,0.420220964094452,1
0.55,DRNE-VI,0.0337496201044011,0.0337496201044011,0.0337496201044011,1
0.7,Isobe-APP,-0.174859944315174,-0.174859944315174,-0.174859944315174,1
0.7,RQE,-0.00736251008621125,-0.00736251008621125,-0.00736251008621125,1
0.7,MF-RQE,0.0125530658390166,0.0125530658390166,0.0125530658390166,1
0.7,CVaR-game,0.48036001517838,0.48036001517838,0.48036001517838,1
0.7,DRNE-VI,0.0360642611926113,0.0360642611926113,0.0360642611926113,1
0.85,Isobe-APP,-0.188723578226118,-0.188723578226118,-0.188723578226118,1
0.85,RQE,-0.00988015188948688,-0.00988015188948688,-0.00988015188948688,1
0.85,MF-RQE,0.00901550288532116,0.00901550288532116,0.00901550288532116,1
0.85,CVaR-game,0.540499066262308,0.540499066262308,0.540499066262308,1
0.85,DRNE-VI,0.0383789022808214,0.0383789022808214,0.0383789022808214,1
