Gamma,Learner,ProposedMinusLearnerCE,CI95Low,CI95High,CIExcludesZero
0.3,Isobe-APP,0.0109800885465582,0.00957200010603194,0.0123881769870845,1
0.3,RQE,-0.0165703518443133,-0.0175417880396968,-0.0155989156489297,1
0.3,MF-RQE,-0.00911701704516262,-0.00999822983233894,-0.00823580425798631,1
0.3,CVaR-game,0.000561410477522883,0.000513399632238168,0.000609421322807599,1
0.3,DRNE-VI,-0.0221194163210377,-0.0228125836031891,-0.0214262490388863,1
0.4,Isobe-APP,0.0587768145751883,0.0574742985906068,0.0600793305597698,1
0.4,RQE,0.000516486351049805,-0.000390603666895952,0.00142357636899556,0
0.4,MF-RQE,0.00332301086792856,0.00251251752755001,0.00413350420830711,1
0.4,CVaR-game,0.000520335462806587,0.000455509020488948,0.000585161905124226,1
0.4,DRNE-VI,-0.00719799998990963,-0.00781236180624709,-0.00658363817357216,1
0.55,Isobe-APP,0.130471903618133,0.129322461802202,0.131621345434065,1
0.55,RQE,0.0261467436440945,0.0253329152488171,0.0269605720393719,1
0.55,MF-RQE,0.0219830527375654,0.0212749921281024,0.0226911133470283,1
0.55,CVaR-game,0.000458722940732126,0.000368299210844185,0.000549146670620066,1
0.55,DRNE-VI,0.0151841245067825,0.0146824733415917,0.0156857756719733,1
0.7,Isobe-APP,0.202166992661079,0.201161714240273,0.203172271081885,1
0.7,RQE,0.0517770009371391,0.0510511889734004,0.0525028129008779,1
0.7,MF-RQE,0.0406430946072022,0.0400311416813402,0.0412550475330642,1
0.7,CVaR-game,0.000397110418657648,0.000280904365680292,0.000513316471635004,1
0.7,DRNE-VI,0.0375662490034746,0.037165753968166,0.0379667440387832,1
0.85,Isobe-APP,0.273862081704024,0.27298763757461,0.274736525833438,1
0.85,RQE,0.0774072582301839,0.0767620672895343,0.0780524491708334,1
0.85,MF-RQE,0.059303136476839,0.0587774853328355,0.0598287876208426,1
0.85,CVaR-game,0.000335497896583203,0.000193425186013055,0.000477570607153352,1
0.85,DRNE-VI,0.0599483735001667,0.059626398987694,0.0602703480126395,1
