N,Seed,Alpha,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,SCShare,RuntimeSec
50,42,0,1,16,0.700120233906094,9.30952832499943e-05,0.755775583255811,0.646532338262981,0.243776274291101,0.003661
50,42,0.1,1,16,0.701013213808514,9.22406235555617e-05,0.757364350130923,0.647001942697777,0.250269687389607,0.0029677
50,42,0.2,1,17,0.703140410793153,7.65068728789675e-05,0.758940981866343,0.647445767405154,0.25678798051868,0.0029179
50,42,0.3,1,17,0.702761437135888,8.73150772743025e-05,0.760497123296451,0.647940717061501,0.263314605172992,0.0027672
50,42,0.4,1,17,0.702170836850368,9.73459940272203e-05,0.762035085523366,0.648521605660071,0.269847942164067,0.0045521
50,42,0.5,1,18,0.70144744439179,7.48096081374938e-05,0.763560600611959,0.649856578028569,0.276403322117119,0.0045542
50,42,0.6,1,18,0.701357737467075,8.21879082382737e-05,0.765061448873318,0.651678188793785,0.282942039497799,0.002803
50,42,0.7,1,18,0.701125979531375,9.20027325540529e-05,0.76654255912925,0.652025242716874,0.289475845616455,0.0026503
50,42,0.8,1,19,0.699654234354425,7.07509549612295e-05,0.768009620805118,0.651201182869395,0.296021963170563,0.0031632
50,42,0.9,1,19,0.698234409815799,7.6506531681314e-05,0.769450652646543,0.650137642521344,0.302537903973265,0.0033542
50,42,1,1,19,0.696859096159269,8.18080177684977e-05,0.77087095820284,0.648662341908001,0.309039083258934,0.003077
50,43,0,1,16,0.700108291376866,9.36909214211135e-05,0.755002776401505,0.647221771139072,0.243777633588116,0.0032758
50,43,0.1,1,16,0.700658936993549,9.21707546297501e-05,0.756577362108529,0.647651502911571,0.250271028909377,0.0026472
50,43,0.2,1,17,0.703135622163509,7.64647571932786e-05,0.758140258481474,0.648145416493283,0.256788907292512,0.0027296
50,43,0.3,1,17,0.702761710620915,8.72807626062788e-05,0.759683056783997,0.648651618866052,0.263315518962335,0.0036961
50,43,0.4,1,17,0.702174827311571,9.73191329459999e-05,0.761208127360771,0.649145236006632,0.26984884316935,0.0024702
50,43,0.5,1,18,0.701454269816323,7.47964535125767e-05,0.762721202542031,0.649982271446022,0.276403942446064,0.002551
50,43,0.6,1,18,0.702340749176141,8.41413374502165e-05,0.764210090936278,0.65132824898937,0.282942650713664,0.0025443
50,43,0.7,1,18,0.701117064748029,9.39651178296363e-05,0.765679727539919,0.651824177755281,0.289476447918909,0.0027406
50,43,0.8,1,19,0.699677929085928,7.21324077206653e-05,0.767135783197392,0.651406449824483,0.296022376641571,0.0028925
50,43,0.9,1,19,0.698283829862198,7.78941961635804e-05,0.768566331647427,0.650325602220859,0.302538311221352,0.0029553
50,43,1,1,19,0.696929429365433,8.32016597800689e-05,0.769976659932377,0.649017914776353,0.309039484451739,0.0029449
50,44,0,1,16,0.700090837365888,9.08571575801709e-05,0.755004728163768,0.646513786381298,0.243778797593828,0.0027798
50,44,0.1,1,16,0.701093183074438,9.017197334657e-05,0.756568369334556,0.646933479807402,0.250272166288796,0.002331
50,44,0.2,1,17,0.703160169552386,7.507270046192e-05,0.758120038432499,0.647391979160025,0.256789687232221,0.0026138
50,44,0.3,1,17,0.702783741883853,8.59000987251113e-05,0.759651641092338,0.647891352799961,0.263316279404122,0.0027776
50,44,0.4,1,17,0.702191727383827,9.59493868491479e-05,0.761165394732193,0.648423631153207,0.26984958442973,0.0024943
50,44,0.5,1,18,0.701465174835548,7.38440630460857e-05,0.762666906255625,0.649795557725751,0.27640444717687,0.003595
50,44,0.6,1,18,0.700910653648096,8.03153492593967e-05,0.764144233409691,0.65155930929945,0.28294314175671,0.0026623
50,44,0.7,1,18,0.701163808649407,9.01504942598663e-05,0.765602190465037,0.651609517486237,0.289476925595655,0.0027713
50,44,0.8,1,18,0.699664838241702,9.92780689714756e-05,0.767040415625868,0.6509008160431,0.296002385387297,0.0026893
50,44,0.9,1,19,0.698232861637446,7.52398063585402e-05,0.768464990054206,0.64977439312503,0.302538624965687,0.0050932
50,44,1,1,19,0.696843960296573,8.05547827014974e-05,0.769863291621941,0.648330039300498,0.309039789145729,0.0027248
50,45,0,1,16,0.700133827039699,9.03180568149198e-05,0.754692486460868,0.646894078583911,0.243776855163286,0.002219
50,45,0.1,1,16,0.70148304473747,9.02860124181171e-05,0.756229262403297,0.647400816802452,0.250270252144536,0.0023942
50,45,0.2,1,17,0.703183222121243,7.51436207017675e-05,0.757754080562751,0.647873357896356,0.256788367444527,0.0025744
50,45,0.3,1,17,0.702796732015394,8.59588499903252e-05,0.759258704420229,0.6483600093357,0.263314980138943,0.0024201
50,45,0.4,1,17,0.702197312913583,9.59965084373071e-05,0.760745466766871,0.648895317205051,0.26984830527467,0.0027523
50,45,0.5,1,18,0.701465096727258,7.38693666343937e-05,0.762219980220808,0.649950844018132,0.27640356852689,0.0037722
50,45,0.6,1,18,0.701978737756646,8.24486227835319e-05,0.763670326143282,0.651630862602819,0.28294227731734,0.0025199
50,45,0.7,1,18,0.701121348450774,9.22696783919319e-05,0.76510134085634,0.651751068343668,0.289476074975382,0.0025912
50,45,0.8,1,19,0.699656812634425,7.09421780027142e-05,0.766518575406184,0.651021789147878,0.296022117258354,0.0028203
50,45,0.9,1,19,0.698242693530133,7.67020663242357e-05,0.767910380422151,0.649741917564678,0.302538052051471,0.0042857
50,45,1,1,19,0.696872032421458,8.20076905543865e-05,0.769281934030975,0.648157265832478,0.309039225446932,0.0028249
50,46,0,1,16,0.700106971949723,9.7733958338897e-05,0.755664301691961,0.646234501963035,0.243777034525259,0.0029327
50,46,0.1,1,16,0.700123000829282,9.5165808205927e-05,0.757201400586731,0.646703730255213,0.250270452255899,0.0028214
50,46,0.2,1,17,0.703185154946816,7.60364371211464e-05,0.758727347710285,0.647145716252883,0.256788515373187,0.002851
50,46,0.3,1,17,0.702797231171295,8.68429279680116e-05,0.760234184183517,0.647624840155417,0.263315143605775,0.0027948
50,46,0.4,1,17,0.702198751679042,9.68721708092257e-05,0.761724061969434,0.648126267613258,0.269848484179829,0.0029386
50,46,0.5,1,18,0.701468487270276,7.44783037533725e-05,0.763202461513381,0.649431479325021,0.276403701934439,0.0028646
50,46,0.6,1,18,0.700864345485327,8.08465753954213e-05,0.764657643387102,0.651219920747625,0.28294242199938,0.0036306
50,46,0.7,1,18,0.701166192154727,9.06577118875151e-05,0.766094309909028,0.651590009006649,0.289476230780952,0.0028196
50,46,0.8,1,18,0.699663253476464,9.97620399487698e-05,0.767512085039579,0.650997092834545,0.296001714949341,0.0038835
50,46,0.9,1,19,0.698227912414157,7.55616314980778e-05,0.768916916670996,0.650204502169521,0.302538176297949,0.0027733
50,46,1,1,19,0.696836055802818,8.08604713753158e-05,0.770296396326655,0.648762747232369,0.309039357497886,0.0040456
50,47,0,1,16,0.70013544593729,9.14103668390454e-05,0.755072839646071,0.646929137520174,0.243776443249961,0.0030594
50,47,0.1,1,16,0.700168140821053,8.88704659887107e-05,0.756622684890843,0.64743924634536,0.250269833564454,0.0025205
