Gamma,Method,Class,BestRiskValue,BestFocusS,FrontierE,FrontierWC,FrontierCE,FrontierCECI95,NumEvaluationSeeds,SelectionCE,NumSelectionSeeds,SelectionProtocol
0.3,Proposed IT2-W-FBRI,Proposed,0.85,20,0.816527362681984,0.807180814026355,0.813723398085296,0.000246370768687428,10,0.813945305359364,10,disjoint seed split
0.3,Isobe-APP,Convergence SOTA,NaN,NaN,0.842253777924118,0.380519014005475,0.703733348748525,0.00393348207985693,10,0.704042429753139,10,disjoint seed split
0.3,RQE,Robust SOTA,0.5,NaN,0.794878150338554,0.624585629561612,0.743790394105472,0.00141775634497621,10,0.743997142109103,10,disjoint seed split
0.3,MF-RQE,Robust SOTA,0.5,NaN,0.78323660253661,0.649061914519052,0.742984196131342,0.00111728961027419,10,0.743172436898315,10,disjoint seed split
0.3,CVaR-game,Robust SOTA,0.05,NaN,0.740594352341565,0.730850236934936,0.737671117719576,0.000318032521951453,10,0.737679632696652,10,disjoint seed split
0.3,DRNE-VI,Robust SOTA,0.95,NaN,0.788479818834497,0.698222860792602,0.761402731421928,0.000865594715733237,10,0.761504078712348,10,disjoint seed split
0.4,Proposed IT2-W-FBRI,Proposed,0.85,20,0.816527362681984,0.807180814026355,0.812788743219733,0.000254582466004195,10,0.813030046494887,10,disjoint seed split
0.4,Isobe-APP,Convergence SOTA,NaN,NaN,0.842253777924118,0.380519014005475,0.657559872356661,0.00366388169058881,10,0.657720163870143,10,disjoint seed split
0.4,RQE,Robust SOTA,0.5,NaN,0.794878150338554,0.624585629561612,0.726761142027778,0.00128672749615714,10,0.726940955986173,10,disjoint seed split
0.4,MF-RQE,Robust SOTA,0.5,NaN,0.78323660253661,0.649061914519052,0.729566727329587,0.00100989194575931,10,0.729741761304483,10,disjoint seed split
0.4,CVaR-game,Robust SOTA,0.05,NaN,0.740594352341565,0.730850236934936,0.736696706178913,0.000359031310727412,10,0.736685979640157,10,disjoint seed split
0.4,DRNE-VI,Robust SOTA,0.95,NaN,0.788479818834497,0.698222860792602,0.752377035617739,0.000828980844168797,10,0.752465243012344,10,disjoint seed split
0.55,Proposed IT2-W-FBRI,Proposed,0.85,20,0.816527362681984,0.807180814026355,0.811386760921389,0.000270797011339224,10,0.811657158198171,10,disjoint seed split
0.55,Isobe-APP,Convergence SOTA,NaN,NaN,0.842253777924118,0.380519014005475,0.588299657768864,0.00327634637860408,10,0.58823676504565,10,disjoint seed split
0.55,RQE,Robust SOTA,0.5,NaN,0.794878150338554,0.624585629561612,0.701217263911236,0.00109475265553795,10,0.701356676801777,10,disjoint seed split
0.55,MF-RQE,Robust SOTA,50,NaN,0.77070773962479,0.663402935053403,0.711690097110527,0.000682000282366652,10,0.711907530354415,10,disjoint seed split
0.55,CVaR-game,Robust SOTA,0.05,NaN,0.740594352341565,0.730850236934936,0.735235088867919,0.00042306549930061,10,0.735195500055415,10,disjoint seed split
0.55,DRNE-VI,Robust SOTA,0.95,NaN,0.788479818834497,0.698222860792602,0.738838491911455,0.000780648992372776,10,0.738906989462338,10,disjoint seed split
0.7,Proposed IT2-W-FBRI,Proposed,0.85,20,0.816527362681984,0.807180814026355,0.809984778623044,0.000290977216510543,10,0.810284269901455,10,disjoint seed split
0.7,Isobe-APP,Convergence SOTA,NaN,NaN,0.842253777924118,0.380519014005475,0.519039443181068,0.00291619889862935,10,0.518753366221156,10,disjoint seed split
0.7,RQE,Robust SOTA,0.5,NaN,0.794878150338554,0.624585629561612,0.675673385794695,0.000911337316811267,10,0.675772397617381,10,disjoint seed split
0.7,MF-RQE,Robust SOTA,50,NaN,0.77070773962479,0.663402935053403,0.695594376424819,0.00056563540987926,10,0.695820506237239,10,disjoint seed split
0.7,CVaR-game,Robust SOTA,0.05,NaN,0.740594352341565,0.730850236934936,0.733773471556924,0.000489077333494804,10,0.733705020470673,10,disjoint seed split
0.7,DRNE-VI,Robust SOTA,0.95,NaN,0.788479818834497,0.698222860792602,0.72529994820517,0.000741580568226226,10,0.725348735912332,10,disjoint seed split
0.85,Proposed IT2-W-FBRI,Proposed,0.85,40,0.815799890915962,0.807009719093087,0.808328244866518,0.000435038302560574,10,0.80899203983765,10,disjoint seed split
0.85,Isobe-APP,Convergence SOTA,NaN,NaN,0.842253777924118,0.380519014005475,0.449779228593271,0.00259486807255335,10,0.449269967396663,10,disjoint seed split
0.85,RQE,Robust SOTA,0.5,NaN,0.794878150338554,0.624585629561612,0.650129507678153,0.000742848998103275,10,0.650188118432985,10,disjoint seed split
0.85,MF-RQE,Robust SOTA,50,NaN,0.77070773962479,0.663402935053403,0.679498655739111,0.000466273347521535,10,0.679733482120064,10,disjoint seed split
0.85,CVaR-game,Robust SOTA,0.05,NaN,0.740594352341565,0.730850236934936,0.73231185424593,0.000556363322301475,10,0.73221454088593,10,disjoint seed split
0.85,DRNE-VI,Robust SOTA,0.95,NaN,0.788479818834497,0.698222860792602,0.711761404498886,0.000713299312794485,10,0.711790482362326,10,disjoint seed split
