Gamma,Method,Class,BestRiskValue,BestFocusS,FrontierE,FrontierWC,FrontierCE,FrontierCECI95,NumEvaluationSeeds,SelectionCE,NumSelectionSeeds,SelectionProtocol
0.3,Proposed IT2-W-FBRI,Proposed,0.5,40,0.794148166364283,0.791137095657621,0.793244845152284,0,1,0.793244845152284,1,same-seed exploratory
0.3,Isobe-APP,Convergence SOTA,NaN,NaN,0.824602314137353,0.40448498778359,0.698567116231224,0,1,0.698567116231224,1,same-seed exploratory
0.3,RQE,Robust SOTA,1,NaN,0.787284935768458,0.628417823390169,0.739624802054971,0,1,0.739624802054971,1,same-seed exploratory
0.3,MF-RQE,Robust SOTA,1,NaN,0.776316704534812,0.652770994170458,0.739252991425506,0,1,0.739252991425506,1,same-seed exploratory
0.3,CVaR-game,Robust SOTA,0.1,NaN,0.738219603172117,0.733255779357016,0.736730456027587,0,1,0.736730456027587,1,same-seed exploratory
0.3,DRNE-VI,Robust SOTA,0.9,NaN,0.784654483966052,0.698494824326823,0.758806586074283,0,1,0.758806586074283,1,same-seed exploratory
0.4,Proposed IT2-W-FBRI,Proposed,0.5,40,0.794148166364283,0.791137095657621,0.792943738081618,0,1,0.792943738081618,1,same-seed exploratory
0.4,Isobe-APP,Convergence SOTA,NaN,NaN,0.824602314137353,0.40448498778359,0.656555383595848,0,1,0.656555383595848,1,same-seed exploratory
0.4,RQE,Robust SOTA,1,NaN,0.787284935768458,0.628417823390169,0.723738090817143,0,1,0.723738090817143,1,same-seed exploratory
0.4,MF-RQE,Robust SOTA,1,NaN,0.776316704534812,0.652770994170458,0.72689842038907,0,1,0.72689842038907,1,same-seed exploratory
0.4,CVaR-game,Robust SOTA,0.1,NaN,0.738219603172117,0.733255779357016,0.736234073646077,0,1,0.736234073646077,1,same-seed exploratory
0.4,DRNE-VI,Robust SOTA,0.9,NaN,0.784654483966052,0.698494824326823,0.75019062011036,0,1,0.75019062011036,1,same-seed exploratory
0.55,Proposed IT2-W-FBRI,Proposed,0.5,40,0.794148166364283,0.791137095657621,0.792492077475619,0,1,0.792492077475619,1,same-seed exploratory
0.55,Isobe-APP,Convergence SOTA,NaN,NaN,0.824602314137353,0.40448498778359,0.593537784642784,0,1,0.593537784642784,1,same-seed exploratory
0.55,RQE,Robust SOTA,1,NaN,0.787284935768458,0.628417823390169,0.699908023960399,0,1,0.699908023960399,1,same-seed exploratory
0.55,MF-RQE,Robust SOTA,20,NaN,0.765893062881118,0.665320306625466,0.710578046940509,0,1,0.710578046940509,1,same-seed exploratory
0.55,CVaR-game,Robust SOTA,0.1,NaN,0.738219603172117,0.733255779357016,0.735489500073812,0,1,0.735489500073812,1,same-seed exploratory
0.55,DRNE-VI,Robust SOTA,0.9,NaN,0.784654483966052,0.698494824326823,0.737266671164476,0,1,0.737266671164476,1,same-seed exploratory
0.7,Proposed IT2-W-FBRI,Proposed,0.5,40,0.794148166364283,0.791137095657621,0.79204041686962,0,1,0.79204041686962,1,same-seed exploratory
0.7,Isobe-APP,Convergence SOTA,NaN,NaN,0.824602314137353,0.40448498778359,0.530520185689719,0,1,0.530520185689719,1,same-seed exploratory
0.7,RQE,Robust SOTA,1,NaN,0.787284935768458,0.628417823390169,0.676077957103656,0,1,0.676077957103656,1,same-seed exploratory
0.7,MF-RQE,Robust SOTA,20,NaN,0.765893062881118,0.665320306625466,0.695492133502162,0,1,0.695492133502162,1,same-seed exploratory
0.7,CVaR-game,Robust SOTA,0.1,NaN,0.738219603172117,0.733255779357016,0.734744926501546,0,1,0.734744926501546,1,same-seed exploratory
0.7,DRNE-VI,Robust SOTA,0.9,NaN,0.784654483966052,0.698494824326823,0.724342722218592,0,1,0.724342722218592,1,same-seed exploratory
0.85,Proposed IT2-W-FBRI,Proposed,0.5,40,0.794148166364283,0.791137095657621,0.79158875626362,0,1,0.79158875626362,1,same-seed exploratory
0.85,Isobe-APP,Convergence SOTA,NaN,NaN,0.824602314137353,0.40448498778359,0.467502586736655,0,1,0.467502586736655,1,same-seed exploratory
0.85,RQE,Robust SOTA,1,NaN,0.787284935768458,0.628417823390169,0.652247890246912,0,1,0.652247890246912,1,same-seed exploratory
0.85,MF-RQE,Robust SOTA,20,NaN,0.765893062881118,0.665320306625466,0.680406220063814,0,1,0.680406220063814,1,same-seed exploratory
0.85,CVaR-game,Robust SOTA,0.1,NaN,0.738219603172117,0.733255779357016,0.734000352929281,0,1,0.734000352929281,1,same-seed exploratory
0.85,DRNE-VI,Robust SOTA,0.9,NaN,0.784654483966052,0.698494824326823,0.711418773272708,0,1,0.711418773272708,1,same-seed exploratory
