Gamma,Method,Class,BestRiskValue,BestFocusS,FrontierE,FrontierWC,FrontierCE,FrontierCECI95,NumSeeds
0.3,Proposed IT2-W-FBRI,Proposed,1,0,0.792407980458163,0.682553243516942,0.759451559375797,0,1
0.3,Isobe-APP,Convergence SOTA,NaN,NaN,0.883968746149992,0.877333697787173,0.881978231641146,0,1
0.3,RQE,Robust SOTA,20,NaN,0.770511212378043,0.688691821514847,0.745965395119084,0,1
0.3,MF-RQE,Robust SOTA,1,NaN,0.751299483610591,0.671721299372523,0.727426028339171,0,1
0.3,CVaR-game,Robust SOTA,0.7,NaN,0.883957529793231,0.877326594544905,0.881968249218733,0,1
0.3,DRNE-VI,Robust SOTA,0.3,NaN,0.835951474149317,0.724590207503743,0.802543094155645,0,1
0.4,Proposed IT2-W-FBRI,Proposed,1,0,0.792407980458163,0.682553243516942,0.748466085681675,0,1
0.4,Isobe-APP,Convergence SOTA,NaN,NaN,0.883968746149992,0.877333697787173,0.881314726804864,0,1
0.4,RQE,Robust SOTA,20,NaN,0.770511212378043,0.688691821514847,0.737783456032765,0,1
0.4,MF-RQE,Robust SOTA,1,NaN,0.751299483610591,0.671721299372523,0.719468209915364,0,1
0.4,CVaR-game,Robust SOTA,0.7,NaN,0.883957529793231,0.877326594544905,0.8813051556939,0,1
0.4,DRNE-VI,Robust SOTA,0.3,NaN,0.835951474149317,0.724590207503743,0.791406967491088,0,1
0.55,Proposed IT2-W-FBRI,Proposed,1,0,0.792407980458163,0.682553243516942,0.731987875140492,0,1
0.55,Isobe-APP,Convergence SOTA,NaN,NaN,0.883968746149992,0.877333697787173,0.880319469550441,0,1
0.55,RQE,Robust SOTA,20,NaN,0.770511212378043,0.688691821514847,0.725510547403285,0,1
0.55,MF-RQE,Robust SOTA,1,NaN,0.751299483610591,0.671721299372523,0.707531482279654,0,1
0.55,CVaR-game,Robust SOTA,0.7,NaN,0.883957529793231,0.877326594544905,0.880310515406651,0,1
0.55,DRNE-VI,Robust SOTA,0.3,NaN,0.835951474149317,0.724590207503743,0.774702777494251,0,1
0.7,Proposed IT2-W-FBRI,Proposed,1,0,0.792407980458163,0.682553243516942,0.715509664599308,0,1
0.7,Isobe-APP,Convergence SOTA,NaN,NaN,0.883968746149992,0.877333697787173,0.879324212296018,0,1
0.7,RQE,Robust SOTA,20,NaN,0.770511212378043,0.688691821514847,0.713237638773806,0,1
0.7,MF-RQE,Robust SOTA,1,NaN,0.751299483610591,0.671721299372523,0.695594754643944,0,1
0.7,CVaR-game,Robust SOTA,0.7,NaN,0.883957529793231,0.877326594544905,0.879315875119402,0,1
0.7,DRNE-VI,Robust SOTA,0.3,NaN,0.835951474149317,0.724590207503743,0.757998587497415,0,1
0.85,Proposed IT2-W-FBRI,Proposed,1,0,0.792407980458163,0.682553243516942,0.699031454058125,0,1
0.85,Isobe-APP,Convergence SOTA,NaN,NaN,0.883968746149992,0.877333697787173,0.878328955041595,0,1
0.85,RQE,Robust SOTA,20,NaN,0.770511212378043,0.688691821514847,0.700964730144326,0,1
0.85,MF-RQE,Robust SOTA,1,NaN,0.751299483610591,0.671721299372523,0.683658027008234,0,1
0.85,CVaR-game,Robust SOTA,0.7,NaN,0.883957529793231,0.877326594544905,0.878321234832154,0,1
0.85,DRNE-VI,Robust SOTA,0.3,NaN,0.835951474149317,0.724590207503743,0.741294397500579,0,1
