Gamma,Method,Class,BestRiskValue,BestFocusS,FrontierE,FrontierWC,FrontierCE,FrontierCECI95,NumEvaluationSeeds,SelectionCE,NumSelectionSeeds,SelectionProtocol
0.3,Proposed IT2-W-FBRI,Proposed,0.85,5,0.829454186885558,0.574701938387064,0.75302851233601,0.00195423535992816,10,0.752015373135012,10,disjoint seed split
0.3,Isobe-APP,Convergence SOTA,NaN,NaN,0.849327026395062,0.383963609240055,0.70971800124856,0.00356037696006475,10,0.708085078162217,10,disjoint seed split
0.3,RQE,Robust SOTA,10,NaN,0.783923639766965,0.623766217860352,0.735876413194981,0.00101368625230948,10,0.736043689190981,10,disjoint seed split
0.3,MF-RQE,Robust SOTA,0.5,NaN,0.769131877675629,0.649400061163792,0.733212332722078,0.000854110970759843,10,0.733727871023498,10,disjoint seed split
0.3,CVaR-game,Robust SOTA,0.5,NaN,0.849325359935832,0.383953337379026,0.70971375316879,0.00356044304435425,10,0.708080872213254,10,disjoint seed split
0.3,DRNE-VI,Robust SOTA,0.7,NaN,0.795338919348199,0.64806238591826,0.751155959319217,0.00125725317487443,10,0.751212581409786,10,disjoint seed split
0.4,Proposed IT2-W-FBRI,Proposed,0.9,15,0.819069519568668,0.597624711153651,0.730491596202661,0.0127655292574867,10,0.72970412046412,10,disjoint seed split
0.4,Isobe-APP,Convergence SOTA,NaN,NaN,0.849327026395062,0.383963609240055,0.663181659533059,0.00358333536506049,10,0.661705548762314,10,disjoint seed split
0.4,RQE,Robust SOTA,0.5,NaN,0.78326339746751,0.625235054573046,0.720052060309724,0.000932344695375931,10,0.720220708264359,10,disjoint seed split
0.4,MF-RQE,Robust SOTA,0.5,NaN,0.769131877675629,0.649400061163792,0.721239151070894,0.000763646575735488,10,0.721704483145386,10,disjoint seed split
0.4,CVaR-game,Robust SOTA,0.05,NaN,0.715697930918999,0.664280409688437,0.695130922426774,0.0593901561521848,10,0.684956184198338,10,disjoint seed split
0.4,DRNE-VI,Robust SOTA,0.7,NaN,0.795338919348199,0.64806238591826,0.736428305976223,0.00114886773163903,10,0.736483650342446,10,disjoint seed split
0.55,Proposed IT2-W-FBRI,Proposed,0.9,15,0.819069519568668,0.597624711153651,0.697274874940409,0.0165524969342527,10,0.696534014000121,10,disjoint seed split
0.55,Isobe-APP,Convergence SOTA,NaN,NaN,0.849327026395062,0.383963609240055,0.593377146959808,0.00362721036264964,10,0.59213625466246,10,disjoint seed split
0.55,RQE,Robust SOTA,0.5,NaN,0.78326339746751,0.625235054573046,0.696347808875555,0.000837777632223413,10,0.696495679004929,10,disjoint seed split
0.55,MF-RQE,Robust SOTA,1,NaN,0.768239806965197,0.650159621382399,0.703295704894658,0.000573834387406002,10,0.703692993481884,10,disjoint seed split
0.55,CVaR-game,Robust SOTA,0.05,NaN,0.715697930918999,0.664280409688437,0.68741829424219,0.08040606923044,10,0.672161393532097,10,disjoint seed split
0.55,DRNE-VI,Robust SOTA,0.7,NaN,0.795338919348199,0.64806238591826,0.714336825961732,0.00099444587842393,10,0.714390253741436,10,disjoint seed split
0.7,Proposed IT2-W-FBRI,Proposed,0.9,15,0.819069519568668,0.597624711153651,0.664058153678156,0.0203431092904539,10,0.663363907536122,10,disjoint seed split
0.7,Isobe-APP,Convergence SOTA,NaN,NaN,0.849327026395062,0.383963609240055,0.523572634386557,0.00368204264908979,10,0.522566960562607,10,disjoint seed split
0.7,RQE,Robust SOTA,0.5,NaN,0.78326339746751,0.625235054573046,0.672643557441385,0.000762645390239643,10,0.672770649745499,10,disjoint seed split
0.7,MF-RQE,Robust SOTA,2,NaN,0.766490113769825,0.651285601077257,0.685846954885027,0.000390277070033092,10,0.686159928478054,10,disjoint seed split
0.7,CVaR-game,Robust SOTA,0.05,NaN,0.715697930918999,0.664280409688437,0.679705666057606,0.101439019926934,10,0.659366602865855,10,disjoint seed split
0.7,DRNE-VI,Robust SOTA,0.7,NaN,0.795338919348199,0.64806238591826,0.692245345947241,0.000854516272213468,10,0.692296857140427,10,disjoint seed split
0.85,Proposed IT2-W-FBRI,Proposed,0.1,0,0.717508444230941,0.664818887031155,0.672722320611123,0.118658000464837,10,0.648735611623198,10,disjoint seed split
0.85,Isobe-APP,Convergence SOTA,NaN,NaN,0.849327026395062,0.383963609240055,0.453768121813306,0.00374735126494736,10,0.452997666462753,10,disjoint seed split
0.85,RQE,Robust SOTA,0.5,NaN,0.78326339746751,0.625235054573046,0.648939306007215,0.000713117466898283,10,0.649045620486069,10,disjoint seed split
0.85,MF-RQE,Robust SOTA,2,NaN,0.766490113769825,0.651285601077257,0.668566277981142,0.000325827789914156,10,0.668786166069122,10,disjoint seed split
0.85,CVaR-game,Robust SOTA,0.05,NaN,0.715697930918999,0.664280409688437,0.671993037873021,0.122480231187408,10,0.646571812199614,10,disjoint seed split
0.85,DRNE-VI,Robust SOTA,0.7,NaN,0.795338919348199,0.64806238591826,0.670153865932751,0.000737376042390285,10,0.670203460539416,10,disjoint seed split
