Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,0,42,0.741137178652318,0.731260491660897,8.94770901959793e-05,1,41,0.0064544
Proposed IT2-W-FBRI,Proposed,alpha,0,5,42,0.740890843806061,0.730964414389636,1.67056657996154e-05,1,46,0.0097058
Proposed IT2-W-FBRI,Proposed,alpha,0,10,42,0.740891425227206,0.730964700352588,1.39726111308824e-05,1,46,0.009116
Proposed IT2-W-FBRI,Proposed,alpha,0,15,42,0.742510986540804,0.732884770111314,2.66572993875613e-05,1,44,0.0100794
Proposed IT2-W-FBRI,Proposed,alpha,0,20,42,0.780860458938929,0.776624136738076,2.57580656912057e-05,1,44,0.0086848
Proposed IT2-W-FBRI,Proposed,alpha,0,40,42,0.816155980158744,0.808096007205482,1.21092496787896e-05,1,46,0.0097993
Proposed IT2-W-FBRI,Proposed,alpha,0.1,0,42,0.742570531369178,0.733041516386201,0.00151740961509688,1,41,0.0056423
Proposed IT2-W-FBRI,Proposed,alpha,0.1,5,42,0.740891384518415,0.730965033459294,1.86250980460373e-05,1,46,0.0074434
Proposed IT2-W-FBRI,Proposed,alpha,0.1,10,42,0.740892138148782,0.730965610050607,1.58602797024947e-05,1,46,0.0074441
Proposed IT2-W-FBRI,Proposed,alpha,0.1,15,42,0.746590244857405,0.737689384069952,3.04376493586671e-05,1,44,0.0073358
Proposed IT2-W-FBRI,Proposed,alpha,0.1,20,42,0.789065508768709,0.784676359770177,2.94989246615505e-05,1,44,0.0069898
Proposed IT2-W-FBRI,Proposed,alpha,0.1,40,42,0.81615813482257,0.808097203641258,1.39203732009161e-05,1,46,0.0075375
Proposed IT2-W-FBRI,Proposed,alpha,0.2,0,42,0.758365734634069,0.733648754547999,0.0601391380736286,1,52,0.0068233
Proposed IT2-W-FBRI,Proposed,alpha,0.2,5,42,0.740891863424806,0.730965627728431,2.06917429815385e-05,1,45,0.0076056
Proposed IT2-W-FBRI,Proposed,alpha,0.2,10,42,0.74089835906107,0.730973061797073,1.7946892094428e-05,1,45,0.0075549
Proposed IT2-W-FBRI,Proposed,alpha,0.2,15,42,0.755044630029802,0.748562277743792,3.46500145607392e-05,1,44,0.0094375
Proposed IT2-W-FBRI,Proposed,alpha,0.2,20,42,0.797466519708127,0.792630085232451,3.3688092855546e-05,1,44,0.0072564
Proposed IT2-W-FBRI,Proposed,alpha,0.2,40,42,0.816159848007069,0.808098072711541,1.59602616921162e-05,1,46,0.0076651
Proposed IT2-W-FBRI,Proposed,alpha,0.3,0,42,0.821578694340311,0.577751580022203,0.576249883025871,1,48,0.0064632
Proposed IT2-W-FBRI,Proposed,alpha,0.3,5,42,0.740892348753772,0.730966253857994,2.28978853278534e-05,1,44,0.0075501
Proposed IT2-W-FBRI,Proposed,alpha,0.3,10,42,0.740989685966804,0.731081447469154,2.02286511159745e-05,1,45,0.0077258
Proposed IT2-W-FBRI,Proposed,alpha,0.3,15,42,0.76747723268019,0.762595013336259,3.93219269001433e-05,1,43,0.007406
Proposed IT2-W-FBRI,Proposed,alpha,0.3,20,42,0.805416545821089,0.799714029886322,3.83583149921515e-05,1,43,0.0083878
Proposed IT2-W-FBRI,Proposed,alpha,0.3,40,42,0.816161229281284,0.808098685770384,1.82442668398857e-05,1,46,0.0077001
Proposed IT2-W-FBRI,Proposed,alpha,0.4,0,42,0.826235235636681,0.516284922208288,0.719867340991445,1,42,0.0059164
Proposed IT2-W-FBRI,Proposed,alpha,0.4,5,42,0.74089413085581,0.730968431974595,2.52324423718635e-05,1,44,0.0074719
Proposed IT2-W-FBRI,Proposed,alpha,0.4,10,42,0.742288303334628,0.732620693705681,3.24459330948871e-05,1,44,0.0074996
Proposed IT2-W-FBRI,Proposed,alpha,0.4,15,42,0.782631022277696,0.77837665535483,4.44511222289815e-05,1,43,0.0072748
Proposed IT2-W-FBRI,Proposed,alpha,0.4,20,42,0.811621409233794,0.804968806924723,4.35124796500795e-05,1,43,0.0072635
Proposed IT2-W-FBRI,Proposed,alpha,0.4,40,42,0.816162362726454,0.808099097013797,2.0787690148277e-05,1,45,0.0075612
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,42,0.82668639778104,0.469608353464829,0.817368393163335,1,42,0.0056755
Proposed IT2-W-FBRI,Proposed,alpha,0.5,5,42,0.740961321285579,0.731048188706892,2.76950193035726e-05,1,43,0.0071695
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,42,0.752608691363784,0.7455171928829,5.18328907102544e-05,1,42,0.0068012
Proposed IT2-W-FBRI,Proposed,alpha,0.5,15,42,0.798623175223444,0.793752262557758,5.00575479038017e-05,1,42,0.006691
Proposed IT2-W-FBRI,Proposed,alpha,0.5,20,42,0.814850229940915,0.807211420636198,3.44188297148476e-05,1,44,0.0072175
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,42,0.81616331259121,0.808099349463455,2.35920204892202e-05,1,45,0.0074597
Proposed IT2-W-FBRI,Proposed,alpha,0.6,0,42,0.826392057591823,0.432552579637735,0.891987787220159,1,42,0.0074326
Proposed IT2-W-FBRI,Proposed,alpha,0.6,5,42,0.744027784184014,0.734675391071586,4.32568010178037e-05,1,42,0.0070516
Proposed IT2-W-FBRI,Proposed,alpha,0.6,10,42,0.779167948417752,0.774892725442405,4.03914290691212e-05,1,43,0.0083719
Proposed IT2-W-FBRI,Proposed,alpha,0.6,15,42,0.811092191443077,0.804577894652469,5.6122525129258e-05,1,42,0.0070317
Proposed IT2-W-FBRI,Proposed,alpha,0.6,20,42,0.815865334660634,0.807898816570795,2.71138514664249e-05,1,44,0.0071334
Proposed IT2-W-FBRI,Proposed,alpha,0.6,40,42,0.816164127748933,0.808099474529517,2.66658347067457e-05,1,44,0.0072858
Proposed IT2-W-FBRI,Proposed,alpha,0.7,0,42,0.826001069079439,0.406356704235207,0.943559731729133,1,42,0.0074842
Proposed IT2-W-FBRI,Proposed,alpha,0.7,5,42,0.782889614607101,0.778720538854482,0.00132275630376374,1,42,0.0073337
Proposed IT2-W-FBRI,Proposed,alpha,0.7,10,42,0.807420265299728,0.801416416619988,5.76652120033735e-05,1,42,0.007099
Proposed IT2-W-FBRI,Proposed,alpha,0.7,15,42,0.815496820533872,0.807650071594884,3.11273196560225e-05,1,43,0.0076201
Proposed IT2-W-FBRI,Proposed,alpha,0.7,20,42,0.816102086145522,0.808057345406441,3.04026790782484e-05,1,44,0.0095983
Proposed IT2-W-FBRI,Proposed,alpha,0.7,40,42,0.81616484547538,0.808099498549063,3.00008232876223e-05,1,44,0.0077638
Proposed IT2-W-FBRI,Proposed,alpha,0.8,0,42,0.825715556015672,0.390944878387485,0.973683090411013,1,43,0.008345
Proposed IT2-W-FBRI,Proposed,alpha,0.8,5,42,0.82301277676771,0.687933276652239,0.33458375795758,1,42,0.0100975
Proposed IT2-W-FBRI,Proposed,alpha,0.8,10,42,0.816355977831689,0.807497691006869,0.0220698744437356,1,42,0.0102844
Proposed IT2-W-FBRI,Proposed,alpha,0.8,15,42,0.816144509214375,0.808146937245533,0.00149244404038002,1,43,0.0096221
Proposed IT2-W-FBRI,Proposed,alpha,0.8,20,42,0.816160178290184,0.808065129356334,0.000272730653185244,1,43,0.0095684
Proposed IT2-W-FBRI,Proposed,alpha,0.8,40,42,0.816165985250412,0.80809734699802,5.00198345289317e-05,1,43,0.0074333
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,42,0.82562371142324,0.386296785144689,0.982582533623599,1,43,0.0059946
Proposed IT2-W-FBRI,Proposed,alpha,0.85,5,42,0.82661871880101,0.571397311202079,0.604053136725258,1,42,0.0092586
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,42,0.821706437972627,0.734707743374239,0.221140616843498,1,42,0.0072723
Proposed IT2-W-FBRI,Proposed,alpha,0.85,15,42,0.817904651066525,0.794698066926992,0.0613635848859518,1,42,0.0112755
Proposed IT2-W-FBRI,Proposed,alpha,0.85,20,42,0.816730182583404,0.808698689579018,0.0193908043535717,1,42,0.0070692
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,42,0.816249869270042,0.808316337429399,0.00284578664235166,1,43,0.0071461
Proposed IT2-W-FBRI,Proposed,alpha,0.9,0,42,0.825559464858401,0.383061822175042,0.988625360264009,1,43,0.0057236
Proposed IT2-W-FBRI,Proposed,alpha,0.9,5,42,0.826718665992567,0.459791039427172,0.837588494718528,1,42,0.0068619
Proposed IT2-W-FBRI,Proposed,alpha,0.9,10,42,0.826704495405817,0.569324425110493,0.608811487930875,1,42,0.0067455
Proposed IT2-W-FBRI,Proposed,alpha,0.9,15,42,0.825336400409119,0.644327553584641,0.441426922249947,1,42,0.0068451
Proposed IT2-W-FBRI,Proposed,alpha,0.9,20,42,0.823876667636219,0.688454587881466,0.335716956769465,1,42,0.0070354
Proposed IT2-W-FBRI,Proposed,alpha,0.9,40,42,0.821207859405826,0.745026688646954,0.194693404181358,1,42,0.0117288
Proposed IT2-W-FBRI,Proposed,alpha,1,0,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0058018
Proposed IT2-W-FBRI,Proposed,alpha,1,5,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0102626
Proposed IT2-W-FBRI,Proposed,alpha,1,10,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0074122
