Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,0,42,0.769496344803578,0.692830827344748,0.193014556452307,1,67,0.00894
Proposed IT2-W-FBRI,Proposed,alpha,0,10,42,0.741385494112373,0.73737754444208,7.89764223854097e-05,1,80,0.0092041
Proposed IT2-W-FBRI,Proposed,alpha,0,40,42,0.792189291811228,0.788692541564232,4.06008292365708e-05,1,80,0.0088268
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,42,0.802182534385588,0.632035541535058,0.420497641663378,1,75,0.0081818
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,42,0.766117885968754,0.76152883285392,0.0189475009353495,1,77,0.0096564
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,42,0.794148166364283,0.791137095657621,0.00868613409797942,1,80,0.0086463
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,42,0.813659032849042,0.590506633809344,0.549687395129213,1,76,0.0066127
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,42,0.803309856149281,0.670391307234543,0.332968900881554,1,74,0.0079051
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,42,0.80587459378749,0.702344539815573,0.263001818741056,1,74,0.0080934
Proposed IT2-W-FBRI,Proposed,alpha,1,0,42,0.816721628686618,0.574278901629541,0.596145190815215,1,76,0.0068011
Proposed IT2-W-FBRI,Proposed,alpha,1,10,42,0.816721628686618,0.574278901629541,0.596145190815215,1,76,0.008697
Proposed IT2-W-FBRI,Proposed,alpha,1,40,42,0.816721628686618,0.574278901629541,0.596145190815215,1,76,0.0082177
Isobe-APP,Convergence SOTA,none,NaN,NaN,42,0.824602314137353,0.40448498778359,0.999952684393451,1,42,0.0043356
RQE,Robust SOTA,rqe_tau,1,NaN,42,0.787284935768458,0.628417823390169,0.387301731025987,1,23,0.0131667
RQE,Robust SOTA,rqe_tau,5,NaN,42,0.787467591766713,0.627840176499095,0.389135512915652,1,23,0.0128295
RQE,Robust SOTA,rqe_tau,20,NaN,42,0.788175655583008,0.62551381686914,0.396447014701934,1,24,0.015379
MF-RQE,Robust SOTA,mfrqe_tau,1,NaN,42,0.776316704534812,0.652770994170458,0.301597674397492,1,22,0.0103935
MF-RQE,Robust SOTA,mfrqe_tau,5,NaN,42,0.77130154985455,0.659165366423061,0.273686362166605,1,21,0.0089087
MF-RQE,Robust SOTA,mfrqe_tau,20,NaN,42,0.765893062881118,0.665320306625466,0.245498098260002,1,19,0.0114283
CVaR-game,Robust SOTA,cvar_alpha,0.1,NaN,42,0.738219603172117,0.733255779357016,1.14996634136185e-05,1,28,0.7060091
CVaR-game,Robust SOTA,cvar_alpha,0.3,NaN,42,0.738219603172117,0.733255779357016,1.14996634136185e-05,1,28,0.714945
CVaR-game,Robust SOTA,cvar_alpha,0.7,NaN,42,0.824599777869216,0.404475190685529,0.999965501009759,1,28,0.7126642
DRNE-VI,Robust SOTA,drne_alpha,0.3,NaN,42,0.820114481800174,0.570670566233478,0.614740028810854,0,300,0.0067976
DRNE-VI,Robust SOTA,drne_alpha,0.6,NaN,42,0.809361752762302,0.625607380037168,0.455779048917598,0,300,0.0076022
DRNE-VI,Robust SOTA,drne_alpha,0.9,NaN,42,0.784654483966052,0.698494824326823,0.218513674676503,0,300,0.0101552
