Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,0,42,0.62393947276401,0.253213289788379,0.0423497685880028,1,23,0.035546
Proposed IT2-W-FBRI,Proposed,alpha,0,10,42,0.585515841515389,0.12057765438554,5.79138498205283e-05,1,24,0.0392552
Proposed IT2-W-FBRI,Proposed,alpha,0,40,42,0.674148465187139,0.490204111975337,2.47043633093631e-05,1,28,0.0437866
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,42,0.709640183442375,0.520630405285473,0.194830703611572,1,34,0.0504525
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,42,0.61601185488502,0.242492620239125,0.00337248472218364,1,24,0.038307
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,42,0.679280918082051,0.51035293938653,0.00358853905037875,1,28,0.0429234
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,42,0.773805760085885,0.674746485650112,0.365441852101036,1,32,0.0502915
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,42,0.712019804324337,0.550175154554284,0.161392532696655,1,32,0.0488806
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,42,0.724411981232236,0.576555323430754,0.148205152985264,1,32,0.0481916
Proposed IT2-W-FBRI,Proposed,alpha,1,0,42,0.792407980458163,0.682553243516942,0.428225437967203,1,31,0.0443292
Proposed IT2-W-FBRI,Proposed,alpha,1,10,42,0.792407980458163,0.682553243516942,0.428225437967203,1,31,0.0511761
Proposed IT2-W-FBRI,Proposed,alpha,1,40,42,0.792407980458163,0.682553243516942,0.428225437967203,1,31,0.0489024
Isobe-APP,Convergence SOTA,none,NaN,NaN,42,0.883968746149992,0.877333697787173,0.999963072354564,1,42,0.0241307
RQE,Robust SOTA,rqe_tau,1,NaN,42,0.769132577297105,0.686760305683827,0.354746462692165,1,20,0.0008891
RQE,Robust SOTA,rqe_tau,5,NaN,42,0.769419275090143,0.687144279342874,0.355963653815577,1,20,0.000625
RQE,Robust SOTA,rqe_tau,20,NaN,42,0.770511212378043,0.688691821514847,0.360684781107597,1,20,0.0035369
MF-RQE,Robust SOTA,mfrqe_tau,1,NaN,42,0.751299483610591,0.671721299372523,0.288774104494241,1,18,0.0015363
MF-RQE,Robust SOTA,mfrqe_tau,5,NaN,42,0.744744067129623,0.669268545718486,0.267799831318602,1,16,0.0006366
MF-RQE,Robust SOTA,mfrqe_tau,20,NaN,42,0.737946863694745,0.657751786053395,0.246675080916015,1,15,0.0037976
CVaR-game,Robust SOTA,cvar_alpha,0.1,NaN,42,0.574094649965837,0.0741083683038757,3.35267154915991e-05,1,25,0.0061442
CVaR-game,Robust SOTA,cvar_alpha,0.3,NaN,42,0.574094649965837,0.0741083683038757,3.35267154915991e-05,1,25,0.0058874
CVaR-game,Robust SOTA,cvar_alpha,0.7,NaN,42,0.883957529793231,0.877326594544905,0.999899419853525,1,25,0.0091979
DRNE-VI,Robust SOTA,drne_alpha,0.3,NaN,42,0.835951474149317,0.724590207503743,0.614740028810854,0,300,0.0067787
DRNE-VI,Robust SOTA,drne_alpha,0.6,NaN,42,0.800285765220211,0.686081080777266,0.455779048917598,0,300,0.0064445
DRNE-VI,Robust SOTA,drne_alpha,0.9,NaN,42,0.724120679745398,0.570343002948592,0.218513674676503,0,300,0.0097081
