Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,0,42,0.7122542899366,0.726562602268366,8.94770901959793e-05,1,41,0.0064419
Proposed IT2-W-FBRI,Proposed,alpha,0,5,42,0.711972508151124,0.726190907666779,1.67056657996154e-05,1,46,0.0083209
Proposed IT2-W-FBRI,Proposed,alpha,0,10,42,0.711972859352878,0.726191910068263,1.39726111308824e-05,1,46,0.007264
Proposed IT2-W-FBRI,Proposed,alpha,0,15,42,0.713804693052047,0.725231911950371,2.66572993875613e-05,1,44,0.0074848
Proposed IT2-W-FBRI,Proposed,alpha,0,20,42,0.754404967889692,0.498262452546966,2.57580656912057e-05,1,44,0.0088935
Proposed IT2-W-FBRI,Proposed,alpha,0,40,42,0.786686282534113,0.528208670602427,1.21092496787896e-05,1,46,0.0080545
Proposed IT2-W-FBRI,Proposed,alpha,0.1,0,42,0.71393435700354,0.72598737762105,0.00151740961509688,1,41,0.005476
Proposed IT2-W-FBRI,Proposed,alpha,0.1,5,42,0.711973094409308,0.726191090620448,1.86250980460373e-05,1,46,0.0076454
Proposed IT2-W-FBRI,Proposed,alpha,0.1,10,42,0.71197370926785,0.726192545857622,1.58602797024947e-05,1,46,0.0076286
Proposed IT2-W-FBRI,Proposed,alpha,0.1,15,42,0.718374517683339,0.703197767796775,3.04376493586671e-05,1,44,0.007351
Proposed IT2-W-FBRI,Proposed,alpha,0.1,20,42,0.762370274021226,0.511564394417286,2.94989246615505e-05,1,44,0.0072082
Proposed IT2-W-FBRI,Proposed,alpha,0.1,40,42,0.786688201555752,0.528202333295653,1.39203732009161e-05,1,46,0.0077363
Proposed IT2-W-FBRI,Proposed,alpha,0.2,0,42,0.734015334822125,0.685956404077691,0.0601391380736286,1,52,0.0073171
Proposed IT2-W-FBRI,Proposed,alpha,0.2,5,42,0.71197364841482,0.72619122471695,2.06917429815385e-05,1,45,0.007454
Proposed IT2-W-FBRI,Proposed,alpha,0.2,10,42,0.71198080519072,0.726201804729486,1.7946892094428e-05,1,45,0.0074009
Proposed IT2-W-FBRI,Proposed,alpha,0.2,15,42,0.727660928053815,0.655113432492441,3.46500145607392e-05,1,44,0.0074869
Proposed IT2-W-FBRI,Proposed,alpha,0.2,20,42,0.770243938150293,0.520864684863228,3.3688092855546e-05,1,44,0.0072479
Proposed IT2-W-FBRI,Proposed,alpha,0.2,40,42,0.786689764372408,0.528197684433584,1.59602616921162e-05,1,46,0.0119679
Proposed IT2-W-FBRI,Proposed,alpha,0.3,0,42,0.823497837601471,0.579220441652723,0.576249883025871,1,48,0.0076592
