Gamma,Baseline,BaselineClass,BaselineBestRisk,BaselineFrontierCE,ProposedBestAlpha,ProposedBestFocusS,ProposedFrontierCE,ProposedMinusBaselineMean,CI95Low,CI95High,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject,ProposedDominates
0.3,Isobe-APP,Convergence SOTA,NaN,0.703733348748525,0.85,20,0.813723398085296,0.109990049336771,0.106234775871619,0.113745322801923,2.05173265630503e-13,20.9524398452643,10,2.05173265630503e-13,1,1
0.3,RQE,Robust SOTA,0.5,0.743790394105472,0.85,20,0.813723398085296,0.0699330039798242,0.0686864561352067,0.0711795518244417,5.94859317593725e-16,40.1324807292827,10,1.18971863518745e-15,1,1
0.3,MF-RQE,Robust SOTA,0.5,0.742984196131342,0.85,20,0.813723398085296,0.0707392019539534,0.0697916509281717,0.0716867529797351,4.55079591608506e-17,53.404803819263,10,1.8125930520238e-16,1,1
0.3,CVaR-game,Robust SOTA,0.05,0.737671117719576,0.85,20,0.813723398085296,0.0760522803657197,0.075688174502169,0.0764163862292705,4.33643795173539e-21,149.419521684936,10,2.1682189758677e-20,1,1
0.3,DRNE-VI,Robust SOTA,0.95,0.761402731421928,0.85,20,0.813723398085296,0.0523206666633673,0.0516201629631695,0.0530211703635651,4.53148263005951e-17,53.4300535629715,10,1.8125930520238e-16,1,1
0.4,Isobe-APP,Convergence SOTA,NaN,0.657559872356661,0.85,20,0.812788743219733,0.155228870863072,0.151754019151711,0.158703722574434,4.61609532413407e-15,31.9564844781308,10,4.61609532413407e-15,1,1
0.4,RQE,Robust SOTA,0.5,0.726761142027778,0.85,20,0.812788743219733,0.0860276011919555,0.0849221736096976,0.0871330287742134,3.13099494257864e-17,55.6711625478512,10,6.26198988515727e-17,1,1
0.4,MF-RQE,Robust SOTA,0.5,0.729566727329587,0.85,20,0.812788743219733,0.0832220158901462,0.0823918879635607,0.0840521438167316,3.20638841429423e-18,71.7159872463222,10,1.28255536571769e-17,1,1
0.4,CVaR-game,Robust SOTA,0.05,0.736696706178913,0.85,20,0.812788743219733,0.0760920370408197,0.0757074343483879,0.0764766397332515,7.06551829765694e-21,141.530377341748,10,3.53275914882847e-20,1,1
0.4,DRNE-VI,Robust SOTA,0.95,0.752377035617739,0.85,20,0.812788743219733,0.0604117076019939,0.0597570113158263,0.0610664038881616,6.76188554507694e-18,66.0091299548041,10,2.02856566352308e-17,1,1
0.55,Isobe-APP,Convergence SOTA,NaN,0.588299657768864,0.85,20,0.811386760921389,0.223087103152524,0.220016465487108,0.226157740817941,5.81247310886315e-17,51.9719085291359,10,5.81247310886315e-17,1,1
0.55,RQE,Robust SOTA,0.5,0.701217263911236,0.85,20,0.811386760921389,0.110169497010152,0.109272183676696,0.111066810343609,5.174916922061e-19,87.829420978212,10,1.5524750766183e-18,1,1
0.55,MF-RQE,Robust SOTA,50,0.711690097110527,0.85,20,0.811386760921389,0.0996966638108612,0.0992108335160777,0.100182494105645,5.08542632527392e-21,146.797549936874,10,2.54271316263696e-20,1,1
0.55,CVaR-game,Robust SOTA,0.05,0.735235088867919,0.85,20,0.811386760921389,0.0761516720534697,0.0757297840612103,0.0765735600457291,1.61335319410775e-20,129.123429687872,10,6.45341277643102e-20,1,1
0.55,DRNE-VI,Robust SOTA,0.95,0.738838491911455,0.85,20,0.811386760921389,0.0725482690099339,0.0719540951559739,0.0731424428638939,5.43919497462618e-19,87.3446465316318,10,1.5524750766183e-18,1,1
0.7,Isobe-APP,Convergence SOTA,NaN,0.519039443181068,0.85,20,0.809984778623044,0.290945335441976,0.288251346888918,0.293639323995034,1.6411833828396e-18,77.2571044268605,10,1.6411833828396e-18,1,1
0.7,RQE,Robust SOTA,0.5,0.675673385794695,0.85,20,0.809984778623044,0.134311392828349,0.133614503961694,0.135008281695005,8.94412391494832e-21,137.870738086878,10,3.57764956597933e-20,1,1
0.7,MF-RQE,Robust SOTA,50,0.695594376424819,0.85,20,0.809984778623044,0.114390402198225,0.114032176266863,0.114748628129587,9.50696997964996e-23,228.431157616605,10,4.75348498982498e-22,1,1
0.7,CVaR-game,Robust SOTA,0.05,0.733773471556924,0.85,20,0.809984778623044,0.0762113070661197,0.0757459889498734,0.076676625182366,3.86922821073639e-20,117.163469289775,10,1.16076846322092e-19,1,1
0.7,DRNE-VI,Robust SOTA,0.95,0.72529994820517,0.85,20,0.809984778623044,0.0846848304178738,0.0841384815434065,0.0852311792923411,6.35353881906299e-20,110.881308814713,10,1.2707077638126e-19,1,1
0.85,Isobe-APP,Convergence SOTA,NaN,0.449779228593271,0.85,40,0.808328244866518,0.358549016273247,0.356166223594564,0.36093180895193,8.29597368389776e-20,107.642816437475,10,2.20658386937732e-19,1,1
0.85,RQE,Robust SOTA,0.5,0.650129507678153,0.85,40,0.808328244866518,0.158198737188365,0.157522792958161,0.158874681418569,1.55768449049888e-21,167.422923529313,10,6.23073796199552e-21,1,1
0.85,MF-RQE,Robust SOTA,50,0.679498655739111,0.85,40,0.808328244866518,0.128829589127407,0.128340168009596,0.129319010245219,5.40909382755519e-22,188.302328857018,10,2.7045469137776e-21,1,1
0.85,CVaR-game,Robust SOTA,0.05,0.73231185424593,0.85,40,0.808328244866518,0.0760163906205883,0.07534615169865,0.0766866295425266,1.05639069582293e-18,81.1335304731983,10,1.05639069582293e-18,1,1
0.85,DRNE-VI,Robust SOTA,0.95,0.711761404498886,0.85,40,0.808328244866518,0.0965668403676324,0.0959336157899055,0.0972000649453593,7.35527956459106e-20,109.092032391939,10,2.20658386937732e-19,1,1
