Gamma,Baseline,BaselineClass,BaselineBestRisk,BaselineFrontierCE,ProposedBestAlpha,ProposedBestFocusS,ProposedFrontierCE,ProposedMinusBaselineMean,CI95Low,CI95High,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject,ProposedDominates
0.3,Isobe-APP,Convergence SOTA,NaN,0.698567116231224,0.5,40,0.793244845152284,0.09467772892106,0.09467772892106,0.09467772892106,NaN,NaN,1,NaN,0,0
0.3,RQE,Robust SOTA,1,0.739624802054971,0.5,40,0.793244845152284,0.0536200430973127,0.0536200430973127,0.0536200430973127,NaN,NaN,1,NaN,0,0
0.3,MF-RQE,Robust SOTA,1,0.739252991425506,0.5,40,0.793244845152284,0.0539918537267784,0.0539918537267784,0.0539918537267784,NaN,NaN,1,NaN,0,0
0.3,CVaR-game,Robust SOTA,0.1,0.736730456027587,0.5,40,0.793244845152284,0.0565143891246974,0.0565143891246974,0.0565143891246974,NaN,NaN,1,NaN,0,0
0.3,DRNE-VI,Robust SOTA,0.9,0.758806586074283,0.5,40,0.793244845152284,0.034438259078001,0.034438259078001,0.034438259078001,NaN,NaN,1,NaN,0,0
0.4,Isobe-APP,Convergence SOTA,NaN,0.656555383595848,0.5,40,0.792943738081618,0.13638835448577,0.13638835448577,0.13638835448577,NaN,NaN,1,NaN,0,0
0.4,RQE,Robust SOTA,1,0.723738090817143,0.5,40,0.792943738081618,0.0692056472644754,0.0692056472644754,0.0692056472644754,NaN,NaN,1,NaN,0,0
0.4,MF-RQE,Robust SOTA,1,0.72689842038907,0.5,40,0.792943738081618,0.0660453176925475,0.0660453176925475,0.0660453176925475,NaN,NaN,1,NaN,0,0
0.4,CVaR-game,Robust SOTA,0.1,0.736234073646077,0.5,40,0.792943738081618,0.0567096644355413,0.0567096644355413,0.0567096644355413,NaN,NaN,1,NaN,0,0
0.4,DRNE-VI,Robust SOTA,0.9,0.75019062011036,0.5,40,0.792943738081618,0.0427531179712576,0.0427531179712576,0.0427531179712576,NaN,NaN,1,NaN,0,0
0.55,Isobe-APP,Convergence SOTA,NaN,0.593537784642784,0.5,40,0.792492077475619,0.198954292832835,0.198954292832835,0.198954292832835,NaN,NaN,1,NaN,0,0
0.55,RQE,Robust SOTA,1,0.699908023960399,0.5,40,0.792492077475619,0.0925840535152196,0.0925840535152196,0.0925840535152196,NaN,NaN,1,NaN,0,0
0.55,MF-RQE,Robust SOTA,20,0.710578046940509,0.5,40,0.792492077475619,0.0819140305351094,0.0819140305351094,0.0819140305351094,NaN,NaN,1,NaN,0,0
0.55,CVaR-game,Robust SOTA,0.1,0.735489500073812,0.5,40,0.792492077475619,0.0570025774018073,0.0570025774018073,0.0570025774018073,NaN,NaN,1,NaN,0,0
0.55,DRNE-VI,Robust SOTA,0.9,0.737266671164476,0.5,40,0.792492077475619,0.0552254063111426,0.0552254063111426,0.0552254063111426,NaN,NaN,1,NaN,0,0
0.7,Isobe-APP,Convergence SOTA,NaN,0.530520185689719,0.5,40,0.79204041686962,0.261520231179901,0.261520231179901,0.261520231179901,NaN,NaN,1,NaN,0,0
0.7,RQE,Robust SOTA,1,0.676077957103656,0.5,40,0.79204041686962,0.115962459765964,0.115962459765964,0.115962459765964,NaN,NaN,1,NaN,0,0
0.7,MF-RQE,Robust SOTA,20,0.695492133502162,0.5,40,0.79204041686962,0.096548283367458,0.096548283367458,0.096548283367458,NaN,NaN,1,NaN,0,0
0.7,CVaR-game,Robust SOTA,0.1,0.734744926501546,0.5,40,0.79204041686962,0.0572954903680731,0.0572954903680731,0.0572954903680731,NaN,NaN,1,NaN,0,0
0.7,DRNE-VI,Robust SOTA,0.9,0.724342722218592,0.5,40,0.79204041686962,0.0676976946510276,0.0676976946510276,0.0676976946510276,NaN,NaN,1,NaN,0,0
0.85,Isobe-APP,Convergence SOTA,NaN,0.467502586736655,0.5,40,0.79158875626362,0.324086169526966,0.324086169526966,0.324086169526966,NaN,NaN,1,NaN,0,0
0.85,RQE,Robust SOTA,1,0.652247890246912,0.5,40,0.79158875626362,0.139340866016708,0.139340866016708,0.139340866016708,NaN,NaN,1,NaN,0,0
0.85,MF-RQE,Robust SOTA,20,0.680406220063814,0.5,40,0.79158875626362,0.111182536199807,0.111182536199807,0.111182536199807,NaN,NaN,1,NaN,0,0
0.85,CVaR-game,Robust SOTA,0.1,0.734000352929281,0.5,40,0.79158875626362,0.057588403334339,0.057588403334339,0.057588403334339,NaN,NaN,1,NaN,0,0
0.85,DRNE-VI,Robust SOTA,0.9,0.711418773272708,0.5,40,0.79158875626362,0.0801699829909126,0.0801699829909126,0.0801699829909126,NaN,NaN,1,NaN,0,0
