Gamma,Baseline,BaselineClass,BaselineBestRisk,BaselineFrontierCE,ProposedBestAlpha,ProposedBestFocusS,ProposedFrontierCE,ProposedMinusBaselineMean,CI95Low,CI95High,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject,ProposedDominates
0.3,Isobe-APP,Convergence SOTA,NaN,0.70971800124856,0.85,5,0.75302851233601,0.0433105110874503,0.0407457012808035,0.0458753208940972,2.86680348205509e-11,12.0798326360238,10,1.43281170319414e-10,1,1
0.3,RQE,Robust SOTA,10,0.735876413194981,0.85,5,0.75302851233601,0.0171520991410294,0.0159611322718535,0.0183430660102052,1.1896116770681e-10,10.3024466003155,10,3.56883503120429e-10,1,1
0.3,MF-RQE,Robust SOTA,0.5,0.733212332722078,0.85,5,0.75302851233601,0.0198161796139322,0.0183248488272527,0.0213075104006117,2.44085114158667e-10,9.50536330597996,10,4.88170228317334e-10,1,1
0.3,CVaR-game,Robust SOTA,0.5,0.70971375316879,0.85,5,0.75302851233601,0.0433147591672199,0.0407498157907993,0.0458797025436405,2.86562340638827e-11,12.0803883569421,10,1.43281170319414e-10,1,1
0.3,DRNE-VI,Robust SOTA,0.7,0.751155959319217,0.85,5,0.75302851233601,0.00187255301679338,0.000691135238067999,0.00305397079551875,0.00587970459632166,1.13384423061973,10,0.00587970459632166,1,1
0.4,Isobe-APP,Convergence SOTA,NaN,0.663181659533059,0.9,15,0.730491596202661,0.0673099366696024,0.0539794222448265,0.0806404510943782,1.17086090260137e-06,3.61206075795216,10,5.85430451300684e-06,1,1
0.4,RQE,Robust SOTA,0.5,0.720052060309724,0.9,15,0.730491596202661,0.010439535892937,-0.00190076422015832,0.0227798360060324,0.0879365137856465,0.605171189330817,10,0.351746055142586,0,0
0.4,MF-RQE,Robust SOTA,0.5,0.721239151070894,0.9,15,0.730491596202661,0.00925244513176713,-0.00313153088861932,0.0216364211521536,0.125265203851,0.534464901355464,10,0.375795611553001,0,0
0.4,CVaR-game,Robust SOTA,0.05,0.695130922426774,0.9,15,0.730491596202661,0.0353606737758873,-0.030271076312046,0.100992423863821,0.253904620603787,0.385415628129158,10,0.507809241207574,0,0
0.4,DRNE-VI,Robust SOTA,0.7,0.736428305976223,0.9,15,0.730491596202661,-0.00593670977356152,-0.0182543301873694,0.00638091064024639,0.303914579843186,-0.34477977016568,10,0.507809241207574,0,0
0.55,Isobe-APP,Convergence SOTA,NaN,0.593377146959808,0.9,15,0.697274874940409,0.103897727980601,0.0868017195702891,0.120993736390912,2.39931817049939e-07,4.34744505511326,10,1.19965908524969e-06,1,1
0.55,RQE,Robust SOTA,0.5,0.696347808875555,0.9,15,0.697274874940409,0.00092706606485401,-0.0152903598569525,0.0171444919866605,0.899951673407619,0.0408932413184403,10,1,0,0
0.55,MF-RQE,Robust SOTA,1,0.703295704894658,0.9,15,0.697274874940409,-0.00602082995424952,-0.0223046064644944,0.0102629465559954,0.424569364914786,-0.264498980610405,10,1,0,0
0.55,CVaR-game,Robust SOTA,0.05,0.68741829424219,0.9,15,0.697274874940409,0.00985658069821891,-0.0785255495306176,0.0982387109270554,0.806490879083077,0.0797782657362057,10,1,0,0
0.55,DRNE-VI,Robust SOTA,0.7,0.714336825961732,0.9,15,0.697274874940409,-0.0170619510213234,-0.033286576937377,-0.0008373251052698,0.0413018741831949,-0.752275248476466,10,0.16520749673278,0,0
0.7,Isobe-APP,Convergence SOTA,NaN,0.523572634386557,0.9,15,0.664058153678156,0.140485519291599,0.119597366188277,0.161373672394921,9.97230075965821e-08,4.81120977603987,10,4.9861503798291e-07,1,1
0.7,RQE,Robust SOTA,0.5,0.672643557441385,0.9,15,0.664058153678156,-0.00858540376322896,-0.0286829098844051,0.0115121023579472,0.359109628757262,-0.305591541335624,10,0.718219257514524,0,0
0.7,MF-RQE,Robust SOTA,2,0.685846954885027,0.9,15,0.664058153678156,-0.0217888012068711,-0.0419279437879887,-0.00164965862575343,0.036910350255122,-0.773953973133456,10,0.110731050765366,0,0
0.7,CVaR-game,Robust SOTA,0.05,0.679705666057606,0.9,15,0.664058153678156,-0.0156475123794494,-0.126804462893891,0.0955094381349922,0.757414648394595,-0.100700459936118,10,0.757414648394595,0,0
0.7,DRNE-VI,Robust SOTA,0.7,0.692245345947241,0.9,15,0.664058153678156,-0.0281871922690852,-0.0483223325767565,-0.00805205196141404,0.0114246969766634,-1.00142846493753,10,0.0456987879066537,1,0
0.85,Isobe-APP,Convergence SOTA,NaN,0.453768121813306,0.1,0,0.672722320611123,0.218954198797817,0.0998928519282771,0.338015545667358,0.00244729734964652,1.31554364468023,10,0.0122364867482326,1,1
0.85,RQE,Robust SOTA,0.5,0.648939306007215,0.1,0,0.672722320611123,0.0237830146039077,-0.0948010701872514,0.142367099395067,0.660790769372463,0.143470717606575,10,1,0,0
0.85,MF-RQE,Robust SOTA,2,0.668566277981142,0.1,0,0.672722320611123,0.00415604262998111,-0.11451479377162,0.122826879031582,0.93858773558335,0.0250529438151442,10,1,0,0
0.85,CVaR-game,Robust SOTA,0.05,0.671993037873021,0.1,0,0.672722320611123,0.000729282738101833,-0.00330491861701549,0.00476348409321916,0.692142614055236,0.129318642572111,10,1,0,0
0.85,DRNE-VI,Robust SOTA,0.7,0.670153865932751,0.1,0,0.672722320611123,0.00256845467837252,-0.115890293121614,0.121027202478359,0.961951731061249,0.0155105623347358,10,1,0,0
