Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
concentrated,main,Proposed-Base,42,21,0.758204060901774,0.714947649204493,0.734413034468269,0.100750841680233,0.0295115268757566,0.0556273
concentrated,main,Proposed-Anneal,42,78,0.773956288014015,0.769759728290125,0.771648180165876,9.53536826373281e-05,0.00315266793322033,0.0261877
concentrated,main,Proposed-Coherent,42,28,0.74090315079446,0.730729717192061,0.73530776231314,1.14996634136185e-05,4.66754617733933e-07,0.8250172
concentrated,main,Isobe-APP,42,42,0.841313386499904,0.380365262397147,0.587791918243388,0.999952604051967,NaN,0.022063
concentrated,main,RQE,42,23,0.794754785811395,0.623828091232747,0.700745103793138,0.389135516637,NaN,2.1377812
concentrated,main,MF-RQE,42,21,0.776709505084113,0.656712082987143,0.710710922930779,0.273686364048246,NaN,1.7911514
concentrated,main,CVaR-game,42,28,0.74090315079446,0.730729717192061,0.73530776231314,1.14996634136185e-05,NaN,0.7202987
concentrated,main,DRNE-VI,42,300,0.797731454708063,0.673763859968741,0.729549277601436,0.288843548536262,NaN,0.0206233
concentrated,main,Proposed-Base,43,21,0.7582984863974,0.714714581065686,0.734327338464957,0.100751087961739,0.0295115464534317,0.00637
concentrated,main,Proposed-Anneal,43,78,0.774078934565202,0.770024029557835,0.77184873681115,9.53536826377158e-05,0.00315266793322044,0.0149274
concentrated,main,Proposed-Coherent,43,28,0.740635814454726,0.731102363701898,0.735392416540671,1.14996634136185e-05,4.66754617733933e-07,0.7601486
concentrated,main,Isobe-APP,43,42,0.841733202674118,0.378581965324306,0.587000022131722,0.999952680845484,NaN,0.0102868
concentrated,main,RQE,43,23,0.794971138935865,0.62344163929469,0.700629914133219,0.389135516637,NaN,1.6752851
concentrated,main,MF-RQE,43,21,0.776877009197851,0.656507917708377,0.71067400887864,0.273686364048246,NaN,1.7269528
concentrated,main,CVaR-game,43,28,0.740635814454726,0.731102363701898,0.735392416540671,1.14996634136185e-05,NaN,0.7163605
concentrated,main,DRNE-VI,43,300,0.797922228377057,0.673595639525011,0.729542604508431,0.288843548536262,NaN,0.0086957
concentrated,main,Proposed-Base,44,21,0.758415943135665,0.715101413773658,0.734592951986561,0.100751304989481,0.0295115727858403,0.0094994
concentrated,main,Proposed-Anneal,44,78,0.773954587475677,0.770050847303928,0.771807530381215,9.53536826380895e-05,0.00315266793322044,0.0154085
concentrated,main,Proposed-Coherent,44,28,0.740723505632532,0.730901682487285,0.735321502902646,1.14996634136185e-05,4.66754617733933e-07,0.7239805
concentrated,main,Isobe-APP,44,42,0.843858503982995,0.380464381307722,0.588991736511595,0.999952767294405,NaN,0.0046623
concentrated,main,RQE,44,23,0.795660273778416,0.62383890482813,0.701158520855758,0.389135516637,NaN,1.6714548
concentrated,main,MF-RQE,44,21,0.777333349189928,0.656658597077212,0.710962235527934,0.273686364048246,NaN,1.7060825
concentrated,main,CVaR-game,44,28,0.740723505632532,0.730901682487285,0.735321502902646,1.14996634136185e-05,NaN,0.7465977
concentrated,main,DRNE-VI,44,300,0.798386329659233,0.673640839578724,0.729776310114953,0.288843548536262,NaN,0.0065044
concentrated,main,Proposed-Base,45,21,0.758442785762465,0.715136739613627,0.734624460380604,0.100750949862632,0.0295115882653053,0.0040401
concentrated,main,Proposed-Anneal,45,78,0.774023730047068,0.769819791693821,0.771711563952782,9.5353682637516e-05,0.00315266793322055,0.0131835
concentrated,main,Proposed-Coherent,45,28,0.740804248961771,0.730457165061772,0.735113352816771,1.14996634136185e-05,4.66754617733933e-07,0.7312237
concentrated,main,Isobe-APP,45,42,0.84325753520369,0.379895459626296,0.588408393636123,0.999952595289681,NaN,0.0049004
concentrated,main,RQE,45,23,0.795507101208189,0.623664436974362,0.700993635879584,0.389135516637,NaN,1.6469482
