alpha,E_U,CVaR5,ExPostViolation,Center
0.1,0.771651935689663,0.658259825286789,0,0.733759329339311
0.2,0.773063511002306,0.656746979229397,0,0.734941242292432
0.3,0.774463884627941,0.655208665085426,0,0.736115269897148
0.4,0.775841897260717,0.653646794756654,0,0.73727195227796
0.5,0.777201616915858,0.652063064432441,0,0.738414735458003
0.6,0.778549341576962,0.650455897433142,0,0.739548922404444
0.7,0.779871960083792,0.648832188078864,0,0.74066342861452
0.8,0.781175108817011,0.647189966729073,0,0.741762993726668
0.9,0.782464591808854,0.645527055337829,0,0.742852497233671
1,0.783728433447386,0.643852036012592,0,0.74392180408434
